,式別,馬番,配当,人気
0,単勝,9,1730,7
1,複勝,9,460,6
2,複勝,4,2130,10
3,複勝,8,370,5
4,枠連,4-7,15340,21
5,馬連,4-9,56390,44
6,ワイド,4-9,13980,46
7,ワイド,8-9,2650,28
8,ワイド,4-8,13240,45
9,馬単,9→4,121090,89
10,3連複,4-8-9,188220,133
11,3連単,9→4→8,1463700,775
