,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ロードプライズ,牡3,57.0,長岡,清水久,栗東,2022100652,1142,ロードカナロア ,プレミアムギフト ,オルフェーヴル ,-0.4921078930240114,10,-0.40669896151382956,10,,
1,1,2,ナンヨーパワフル,牡3,57.0,鮫島駿,松永幹,栗東,2022104583,1157,ナダル Nadal(米) ,アイスドール ,キャプテンスティーヴ Captain Steve(米) ,-0.11055003300722077,6,-0.2747370536098989,6,,
2,2,3,ホウオウヘーゲル,牡3,57.0,Ａルメート,池江,栗東,2022100521,5659,オルフェーヴル ,ダイワサンルージュ ,コロナドズクエスト Coronado's Quest(米) ,-0.9657229799189525,11,-0.570498890772244,11,,
3,2,4,ロロノア,牡3,57.0,古川吉,昆,栗東,2022101152,1015,レッドベルジュール ,サンドグロース Sand Grouse(英) ,Mr. Greeley ,-0.3165618000734972,7,-0.3459862891295909,7,,
4,3,5,バイルシュタイン,牡3,57.0,西村淳,寺島,栗東,2022105042,1171,ダンカーク Dunkirk(米) ,ペルレンケッテ ,ディープインパクト ,-2.5754981367570213,15,-1.1272401435493529,15,,
5,3,6,ビリオネアボーイ,牡3,57.0,川田,新谷,栗東,2022110094,1088,American Pharoah (米) ,ザワールドウィノウ ,Speightstown (米) ,0.014438897572848356,5,-0.2315095919989861,5,,
6,4,7,アイファージェット,牡3,57.0,藤懸,宮本,栗東,2022101114,1138,パドトロワ ,オトメローズ ,アサクサデンエン ,0.3366126472024851,4,-0.1200856976627005,4,,
7,4,8,リュウジンオー,牡3,57.0,武豊,野中,栗東,2022103234,666,ミッキーアイル ,ビリオネア ,タニノギムレット ,-1.193559661128007,13,-0.6492962798275328,13,,
8,5,9,ブライトノヴァ,牡3,57.0,松山,茶木,栗東,2022103495,1126,ウインブライト ,ヴンダーゾンネ ,グラスワンダー ,0.9544348694111686,1,0.09358831545949374,1,,
9,5,10,スコーピオンイメル,牡3,57.0,坂井,武英,栗東,2022104496,1163,ホッコータルマエ ,ダーリングバード Darling Bird(米) ,Birdstone ,-1.3313002794639541,14,-0.696933916726636,14,,
10,6,11,タイキフィアリーベ,牡3,54.0,▲柴田裕,中尾,栗東,2022103156,1212,ラブリーデイ ,ラブインブルーム ,タイキシャトル ,0.40988322024797935,2,-0.09474504654396255,2,,
11,6,12,ヒロノライジン,牡3,57.0,水口,宮地,栗東,2022103483,1133,エスポワールシチー ,ラゴディラゴライ ,Pure Prize ,-0.4324899489959995,8,-0.3860800765067169,8,,
12,7,13,アスクアットバット,牡3,56.0,☆小沢,藤原,栗東,2022110139,1185,カラヴァッジオ ,Luna Rosa ,Malibu Moon ,-0.9790431296262938,12,-0.5751056688081345,12,,
13,7,14,メイショウカスガイ,牡3,57.0,角田和,角田,栗東,2022102839,1186,マジェスティックウォリアー Majestic Warrior(米) ,サーリセルカ ,ウォーエンブレム War Emblem(米) ,-0.45888250718221535,9,-0.39520795119540836,9,,
14,8,15,ノースグロリア,牡3,57.0,吉田隼,加藤士,美浦,2022103052,1095,サトノダイヤモンド ,クアンナム Quan Am(仏) ,Invincible Spirit (愛) ,0.37074222693629616,3,-0.10828197159757674,3,,
15,8,16,フジュム,牡3,55.0,△高杉,茶木,栗東,2022101947,1213,ドレフォン Drefong(米) ,グラマトフィラム ,クロフネ ,-3.2388755402478093,16,-1.3566694306859035,16,,
