,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,メイショウヘール,牡5,60.0,中村,大橋,472(-12),栗東,2021104622,01101,シュヴァルグラン,メイショウベルシア,タニノギムレット
1,2,2,ジロラータ,牡4,59.0,草野,久保田,474(0),美浦,2022105347,01113,リアルインパクト,シティイメージ,Elusive City
2,3,3,テイエムタワードン,セ4,59.0,田村,畑端,512(-2),栗東,2022100329,01105,タワーオブロンドン,サットー,ステイゴールド
3,4,4,プリンセスララア,牝9,58.0,大江圭,的場,436(-2),美浦,2017100655,01120,スピルバーグ,ナックオフィス,ジェネラス
4,5,5,フジフォンテ,セ7,60.0,石神深,粕谷,480(+2),美浦,2019105759,01059,ロージズインメイ,シチリアーナ,メイショウオウドウ
5,5,6,ツリートップムーン,牡4,59.0,小野寺,坂口,492(+4),栗東,2022105887,01123,アドマイヤムーン,キャノピーウォーク,ロードカナロア
6,6,7,エクロジャイト,セ6,60.0,小牧加,武幸,534(+16),栗東,2020103295,01196,ヘニーヒューズ,オージャイト,キングカメハメハ
7,6,8,フェイトライン,牡4,59.0,高田,斉藤崇,528(+18),栗東,2022104992,01046,サトノアラジン,フェイトカラー,サクラバクシンオー
8,7,9,グアラニア,牡5,60.0,伴,矢野,506(+8),美浦,2021103051,01149,マインドユアビスケッツ,ファド,ダイワメジャー
9,7,10,シンリミテス,牡7,60.0,難波,大根田,508(+12),栗東,2019106148,01066,ドレフォン,ポリアフ,キングカメハメハ
10,8,11,コンバスチョン,セ7,60.0,上野,伊藤圭,504(0),美浦,2019101889,01087,ディスクリートキャット,スモーダリング,パイロ
11,8,12,ラストレガシー,牡4,57.0,▲坂口,手塚久,494(+4),美浦,2022105556,01211,ドゥラメンテ,リトルモンスター,Into Mischief
