,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ケンタッキーホーム,牡2,55.0,坂井,松下,栗東,2023107181,1163,ゴールドドリーム  ,フォンタネットポー  ,ダンカーク  Dunkirk(米)  ,-0.5378511547420863,10,-0.42251928320711185,10,,
1,2,2,タマコロリン,牝2,55.0,荻野極,村田,美浦,2023105015,1160,ゴールドドリーム  ,タマノパルフェット  ,Hard Spun  (米)  ,0.28149763379601944,2,-0.13914724267437414,2,,
2,2,3,ガウラディスコ,牡2,55.0,松若,高柳大,栗東,2023102462,1154,クリソベリル  ,ガウラミディ  ,フリオーソ  ,-0.8101981953197256,12,-0.5167105942838459,12,,
3,3,4,マヴィ,牝2,55.0,バデル,牧浦,栗東,2023104352,5644,ルヴァンスレーヴ  ,レゼトワール  ,ファスリエフ  Fasliyev(米)  ,0.20594591308603463,4,-0.16527682944235678,4,,
4,3,5,グランワールド,牡2,55.0,田口,新谷,栗東,2023101572,1208,シニスターミニスター  Sinister Minister(米)  ,コパノプリンセス  ,ゴールドアリュール  ,-0.4686580270657794,8,-0.3985888178732201,8,,
5,4,6,ダンツシタン,牡2,55.0,和田竜,本田,栗東,2023104848,1018,パイロ  Pyro(米)  ,マリスレーン  ,ストリートセンス  Street Sense(米)  ,-0.485299436747643,9,-0.40434425473339386,9,,
6,4,7,ファツアップ,牡2,55.0,小沢,緒方,栗東,2023105209,1185,モーニン  ,エルシェロアスール  ,アドマイヤジャパン  ,-0.1502460517865604,6,-0.2884659343989918,6,,
7,5,8,ケイアイアマゾン,牡2,55.0,幸,秋山,栗東,2023105762,732,マインドユアビスケッツ  Mind Your Biscuits(米)  ,クインズヌーサ  ,ゴールドアリュール  ,-1.2044658951131777,13,-0.6530682043389725,13,,
8,5,9,スナークホクサイ,牡2,55.0,小崎,野中,栗東,2023102903,1152,クリソベリル  ,サティーヌアロム  ,シンボリクリスエス  ,-2.162872302940138,15,-0.9845333669715358,15,,
9,6,10,シャローファースト,牡2,55.0,岩田康,安田,栗東,2023107258,5203,クリソベリル  ,ミセスワタナベ  ,Tapizar  ,0.27795663070135995,3,-0.14037189972702777,3,,
10,6,11,マッドゲイル,牡2,54.0,☆吉村,上原佑,美浦,2023103701,1216,ルヴァンスレーヴ  ,チェリーペトルズ  ,ダイワメジャー  ,-0.6377745507942628,11,-0.45707782168592875,11,,
11,7,12,ブルースプレイヤー,牡2,54.0,☆西塚,高橋亮,栗東,2023103432,1200,マインドユアビスケッツ  Mind Your Biscuits(米)  ,ジェラテリアバール  ,マンハッタンカフェ  ,1.1780077906256707,1,0.17091108175717282,1,,
12,7,13,ニシノトマラナイ,牡2,53.0,◇永島,矢野,美浦,2023106272,1187,ドレフォン  Drefong(米)  ,ニシノウララ  ,リーチザクラウン  ,0.027772014555939535,5,-0.22689832922663072,5,,
13,8,14,ドンラプス,牡2,55.0,松山,今野,栗東,2023104503,1126,マジェスティックウォリアー  Majestic Warrior(米)  ,サウスグローリー  ,サウスヴィグラス  ,-1.3710795369089424,14,-0.710691585634862,14,,
14,8,15,ルーン,牝2,55.0,団野,高橋一,栗東,2023101927,1180,クリソベリル  ,ハーモニックソウル  ,ハービンジャー  Harbinger(英)  ,-0.3264107169563975,7,-0.34939254018309446,7,,
