,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ヴァリオーサ,牝3,55.0,坂井,武幸,栗東,2022105711,1163,エピファネイア  ,ディヴィナプレシオーサ  Divina Preciosa(智)  ,Crocker Road  ,2.1838545339995705,1,0.36629513985890133,1,,
1,1,2,クロシオカレント,牡3,57.0,松若,東田,栗東,2022105572,1154,ブリックスアンドモルタル  Bricks and Mortar(米)  ,レッドサクヤ  ,ディープインパクト  ,-1.378310948677691,15,-0.5725549512630357,15,,
2,2,3,ヤヌシサンダー,牡3,57.0,岩田康,牧田,栗東,2022100591,5203,サンダースノー  Thunder Snow(愛)  ,アースファイヤー  ,クロフネ  ,-0.23979512928279373,11,-0.2724858820463797,11,,
3,2,4,ペルティナクス,牡3,53.0,★河原田,池江,栗東,2022102959,1204,キタノコマンドール  ,エスジーアンクル  ,シニスターミニスター  Sinister Minister(米)  ,0.4908737949772662,8,-0.0799095995975509,8,,
4,3,5,ディープカインズ,牡3,57.0,太宰,本田,栗東,2022101097,1037,ノーブルミッション  Noble Mission(英)  ,アンジュデュバン  ,ハーツクライ  ,-1.4104077926168563,16,-0.5810144473205753,16,,
5,3,6,クリノバーグマン,牡3,57.0,田口,谷,栗東,2022102236,1208,マクフィ  Makfi(英)  ,クリノラホール  ,ダイワメジャー  ,0.6252107112789083,7,-0.04450354484681951,7,,
6,4,7,メイショウアイル,牡3,57.0,秋山稔,高橋忠,栗東,2022102573,1181,ミッキーアイル  ,メイショウスザンナ  ,アグネスデジタル  ,1.631811558676942,3,0.22079780117396716,3,,
7,4,8,エーデルワイス,牝3,55.0,幸,渡辺,栗東,2022100779,732,ドレフォン  Drefong(米)  ,アイトマコト  ,ディープインパクト  ,1.6626915574620362,2,0.22893658355626162,2,,
8,5,9,ワイドクリーガー,牡3,57.0,松山,奥村豊,栗東,2022105611,1126,サトノクラウン  ,ピュアアモーレ  ,マツリダゴッホ  ,0.7118016810933704,6,-0.021681488910343466,6,,
9,5,10,サンライズフーガ,牡3,57.0,高倉,前川,栗東,2022104429,1130,ルーラーシップ  ,カリブストーリー  ,アグネスタキオン  ,-1.00015259783059,14,-0.4728869252047727,14,,
10,6,11,ラムセス,牡3,56.0,☆吉村,清水久,栗東,2022104943,1216,エピファネイア  ,ハイヒール  ,トーセンホマレボシ  ,1.499430802492264,4,0.18590731514484402,4,,
11,6,12,シーラスストリーク,牝3,55.0,バデル,武英,栗東,2022104833,5644,キズナ  ,ジェットセッティング  Jet Setting(愛)  ,Fast Company  ,1.2187522097587338,5,0.11193121166359907,5,,
12,7,13,アーリドラータ,牡3,54.0,▲田山,小栗,栗東,2022107173,1220,エポカドーロ  ,シーエーパイロット  ,パイロ  Pyro(米)  ,-0.7112771803617671,13,-0.3967504533501146,13,,
13,7,14,マンノミューズ,牝3,55.0,角田和,角田,栗東,2022106518,1186,モズアスコット  ,マンノアクトレス  ,ハーツクライ  ,0.10541782961058033,9,-0.18150099673163925,9,,
14,8,15,ヒロニャン,牡3,57.0,中井,今野,栗東,2022104061,1141,ワールドエース  ,トップモーション  ,シンボリクリスエス  ,-0.1275648794700672,10,-0.24290629604013841,10,,
15,8,16,ハックルベリー,牡3,57.0,団野,加藤公,栗東,2022101933,1180,ダンカーク  Dunkirk(米)  ,キャンティユッキ  ,マヤノトップガン  ,-0.46479141676779634,12,-0.33178626717296555,12,,
