,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ナブッコ,牡2,53.0,▲柴田裕,中竹,500(0),栗東,2023104377,01212,モーリス  ,ヴェルディアーナ  ,Perfect Soul  ,-2.869462886528388,15
1,1,2,スギノダイナミック,牡2,56.0,藤懸,高橋忠,516(0),栗東,2023106647,01138,サトノアラジン  ,バイオダイナミック  ,オルフェーヴル  ,-2.512239342078167,13
2,2,3,ケイトバローズ,牝2,55.0,松若,渡辺,468(0),栗東,2023100601,01154,ロジャーバローズ  ,ケイト  ,ブライアンズタイム  Brian's Time(米)  ,-2.4969045969456265,12
3,2,4,アーネストアイズ,牝2,55.0,角田和,松永幹,474(0),栗東,2023103292,01186,ルヴァンスレーヴ  ,バーグアンノール  ,キングカメハメハ  ,-1.3440474593507101,6
4,3,5,アクロフェイズ,牡2,55.0,☆吉村,奥村豊,476(0),栗東,2023106978,01216,ロードカナロア  ,クルミネイト  ,ディープインパクト  ,-4.767691444589001,16
5,3,6,ミトノテイオー,牡2,56.0,高倉,前川,510(0),栗東,2023105050,01130,デクラレーションオブウォー  ,ウイナーズロード  ,ケイムホーム  Came Home(米)  ,-0.3200865117962253,4
6,4,7,アルムランプシー,牝2,55.0,秋山稔,北出,494(0),栗東,2023104323,01181,サトノアラジン  ,タガノトリオンフ  ,ワイルドラッシュ  Wild Rush(米)  ,-0.09479279029767264,3
7,4,8,ジャスティンダラス,牡2,56.0,松山,杉山晴,522(0),栗東,2023102230,01126,Gun Runner  (米)  ,ピンクサンズ  ,Tapit  (米)  ,0.630548509122084,1
8,5,9,タガノアイゼン,牡2,56.0,菱田,岡田,460(0),栗東,2023104316,01144,ビーチパトロール  Beach Patrol(米)  ,タガノカトレア  ,エンパイアメーカー  Empire Maker(米)  ,-1.2504218019721136,5
9,5,10,パイロマンサー,牡2,56.0,横山武,吉村,504(0),栗東,2023101134,01170,パイロ  Pyro(米)  ,セントリフュージ  ,Hard Spun  (米)  ,-1.7238665716648007,10
10,6,11,リアルフォルツァ,牡2,56.0,田口,大橋,506(0),栗東,2023105194,01208,インディチャンプ  ,モダンハート  ,ヴィクトワールピサ  ,-1.6388252859618941,7
11,6,12,コンテナヒーロー,牡2,56.0,団野,茶木,486(0),栗東,2023103682,01180,クリソベリル  ,オリヒメ  ,マジェスティックウォリアー  Majestic Warrior(米)  ,-1.719449693344944,9
12,7,13,レヴロード,牡2,56.0,内田博,畑端,482(0),栗東,2023106139,00422,キセキ  ,アウラヴィータ  ,アジアエクスプレス  ,-2.5930065290605127,14
13,7,14,レッドフロイデ,牡2,56.0,高杉,大久保,442(0),栗東,2023103441,01213,モーリス  ,ジョイフルビクトリー  Joyful Victory(加)  ,Tapit  (米)  ,-2.0770542554896276,11
14,8,15,カイラーサ,牡2,56.0,鮫島駿,河嶋,514(0),栗東,2023104476,01157,トランセンド  ,プリムヴェール  ,Pioneerof the Nile  ,0.23925499714419143,2
15,8,16,サンライズケヴィン,牡2,56.0,池添,平田,492(0),栗東,2023106546,01032,シニスターミニスター  Sinister Minister(米)  ,カシュカシュ  ,アフリート  Afleet(加)  ,-1.6639010954064257,8
