race_id,式別,馬番,配当,人気
202608010101,単勝,9,200,1
202608010101,複勝,9,110,1
202608010101,複勝,7,400,8
202608010101,複勝,16,330,4
202608010101,枠連,4-5,790,3
202608010101,馬連,7-9,1750,6
202608010101,ワイド,7-9,870,7
202608010101,ワイド,9-16,650,4
202608010101,ワイド,7-16,2830,29
202608010101,馬単,9→7,2560,8
202608010101,三連複,7-9-16,6140,16
202608010101,三連単,9→7→16,21310,58
202608010102,単勝,2,4970,9
202608010102,複勝,2,560,8
202608010102,複勝,4,110,1
202608010102,複勝,14,290,5
202608010102,枠連,1-2,2400,9
202608010102,馬連,2-4,3380,9
202608010102,ワイド,2-4,1310,13
202608010102,ワイド,2-14,6640,51
202608010102,ワイド,4-14,460,3
202608010102,馬単,2→4,12750,31
202608010102,三連複,2-4-14,12630,40
202608010102,三連単,2→4→14,140860,303
202608010103,単勝,11,580,3
202608010103,複勝,11,200,3
202608010103,複勝,2,450,8
202608010103,複勝,1,190,2
202608010103,枠連,1-6,1120,4
202608010103,馬連,2-11,5710,23
202608010103,ワイド,2-11,1680,22
202608010103,ワイド,1-11,590,3
202608010103,ワイド,1-2,1330,20
202608010103,馬単,11→2,10510,43
202608010103,三連複,1-2-11,8490,32
202608010103,三連単,11→2→1,65190,240
202608010104,単勝,4,510,4
202608010104,複勝,4,200,4
202608010104,複勝,1,3110,12
202608010104,複勝,6,200,3
202608010104,枠連,1-4,12990,21
202608010104,馬連,1-4,35570,45
202608010104,ワイド,1-4,9990,49
202608010104,ワイド,4-6,730,9
202608010104,ワイド,1-6,8320,43
202608010104,馬単,4→1,49810,84
202608010104,三連複,1-4-6,54380,97
202608010104,三連単,4→1→6,463000,681
202608010105,単勝,8,17060,13
202608010105,複勝,8,2330,13
202608010105,複勝,2,150,1
202608010105,複勝,15,490,7
202608010105,枠連,1-4,3380,14
202608010105,馬連,2-8,24800,42
202608010105,ワイド,2-8,7130,46
202608010105,ワイド,8-15,27640,92
202608010105,ワイド,2-15,1240,12
202608010105,馬単,8→2,71970,105
202608010105,三連複,2-8-15,123250,181
202608010105,三連単,8→2→15,1595820,1
202608010106,単勝,2,5560,7
202608010106,複勝,2,1500,7
202608010106,複勝,4,200,2
202608010106,馬連,2-4,9710,18
202608010106,ワイド,2-4,2790,17
202608010106,ワイド,2-3,4330,21
202608010106,ワイド,3-4,590,10
202608010106,馬単,2→4,26810,37
202608010106,三連複,2-3-4,12860,30
202608010106,三連単,2→4→3,165710,194
202608010107,単勝,2,1230,5
202608010107,複勝,2,300,5
202608010107,複勝,10,140,1
202608010107,複勝,5,160,3
202608010107,枠連,2-8,1020,4
202608010107,馬連,2-10,1530,5
202608010107,ワイド,2-10,530,6
202608010107,ワイド,2-5,980,13
202608010107,ワイド,5-10,290,2
202608010107,馬単,2→10,3500,12
202608010107,三連複,2-5-10,2230,6
202608010107,三連単,2→10→5,14540,45
202608010108,単勝,11,340,2
202608010108,複勝,11,130,1
202608010108,複勝,1,130,2
202608010108,複勝,5,230,4
202608010108,枠連,1-6,400,1
202608010108,馬連,1-11,500,1
202608010108,ワイド,1-11,230,1
202608010108,ワイド,5-11,610,5
