,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,リヴァデラルナ,牡2,56.0,池添,西村,516(0),栗東,2023102407,01032,ストロングリターン  ,フィアレス  ,スペシャルウィーク  ,-5.136191579843271,11
1,2,2,ランスオブヒーロー,牡2,56.0,高杉,奥村豊,478(0),栗東,2023103166,01213,インディチャンプ  ,ハイドラン  ,ローエングリン  ,-5.004331443230841,10
2,3,3,レザベーション,牡2,56.0,坂井,松下,460(0),栗東,2023103268,01163,ダノンプレミアム  ,プレノタート  ,ジャングルポケット  ,-2.743610125845261,8
3,4,4,クロワール,牡2,56.0,佐々木,鈴木孝,466(0),栗東,2023104391,01197,ロードカナロア  ,シェルエメール  ,ジャングルポケット  ,-3.0445439184256062,9
4,5,5,イニシオ,牡2,56.0,松山,福永,474(0),栗東,2023105869,01126,キタサンブラック  ,ウインミレーユ  ,ステイゴールド  ,-1.0715731182412391,4
5,6,6,ノンブルドール,牡2,56.0,戸崎圭,西園翔,438(0),栗東,2023106941,05386,レイデオロ  ,オーロトラジェ  ,オルフェーヴル  ,-1.4200298636153625,5
6,6,7,セヴェロ,牡2,56.0,菅原明,池江,502(0),栗東,2023106969,01179,サトノダイヤモンド  ,クインアマランサス  ,キングカメハメハ  ,-2.1694157023782608,7
7,7,8,タイムレスフレアー,牡2,56.0,岩田望,橋口,470(0),栗東,2023103795,01174,ポエティックフレア  Poetic Flare(愛)  ,タイムトラベリング  ,ブライアンズタイム  Brian's Time(米)  ,-0.35615341497890846,2
8,7,9,シャリキモン,牡2,56.0,松若,吉田,432(0),栗東,2023103743,01154,ミッキーロケット  ,スイートシャイン  ,ディープブリランテ  ,-2.1662551265022425,6
9,8,10,ジャスティンビスタ,牡2,56.0,北村友,吉岡,512(0),栗東,2023102807,01102,サートゥルナーリア  ,ペブルガーデン  ,ディープインパクト  ,-0.4257115620408637,3
10,8,11,メイショウヒタカミ,牡2,56.0,角田和,石橋,446(0),栗東,2023102245,01186,フィエールマン  ,メイショウラッシュ  ,ケイムホーム  Came Home(米)  ,-0.28383645231677557,1
