,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,コスモコンフェルマ,牡3,56.0,丹内,鈴木慎,478(+8),美浦,2022100526,01091,ホッコータルマエ  ,ソリッドリーズン  ,ジャングルポケット  ,-4.763521267280864,16
1,1,2,アルデツヨシ,セ3,56.0,江田照,田中剛,470(+2),美浦,2022101481,00689,マインドユアビスケッツ  Mind Your Biscuits(米)  ,オースミハナチャン  ,ハーツクライ  ,-2.2237558317911854,11
2,2,3,ネイサン,牡4,55.0,▲遠藤,粕谷,480(0),美浦,2021104722,01218,マクマホン  Mac Mahon(伊)  ,トーセンベニザクラ  ,ダイワメジャー  ,-2.916069165695802,13
3,2,4,トライゴーニック,牡3,56.0,荻野極,池上,490(+16),美浦,2022104691,01160,ルーラーシップ  ,エリスライト  ,ディープインパクト  ,-1.5209202362500582,10
4,3,5,ハルノアラシ,牡3,56.0,石川,相沢,516(+4),美浦,2022106099,01150,ミスターメロディ  ,ヒメベニサクラ  ,ディープブリランテ  ,1.6175701480459084,3
5,3,6,フォレストゲート,牡4,58.0,菊沢,小手川,466(+1),美浦,2021101950,01161,ダノンレジェンド  ,キャンティユッキ  ,マヤノトップガン  ,2.0388040675538557,1
6,4,7,カージオイド,牡3,56.0,木幡巧,黒岩,510(+4),美浦,2022104062,01162,サトノダイヤモンド  ,トールディクイント  Tor di Quinto(愛)  ,Sea The Stars  Sea the Stars(愛)  ,1.8468707151236596,2
7,4,8,マインドミー,牝3,54.0,柴田大,高橋文,466(+14),美浦,2022103613,01009,シュヴァルグラン  ,グラスティファニー  ,キングカメハメハ  ,-0.05110236717730507,6
8,5,9,ヤコブセン,牡3,56.0,斎藤,斎藤誠,510(+4),美浦,2022103288,01178,エピファネイア  ,スマッシュ  ,キングカメハメハ  ,0.25713683232190654,5
9,5,10,ダカラフェスティヴ,牝3,54.0,横山武,奥平,464(+10),美浦,2022104378,01170,ミッキーグローリー  ,ジェイケイカルミア  ,キングカメハメハ  ,1.4878315782887552,4
10,6,11,ロックウイズユー,牡3,56.0,石橋脩,西園正,450(0),栗東,2022103143,01077,ダノンレジェンド  ,エステーラブ  ,マイネルラヴ  ,-3.003520520525787,14
11,6,12,ファイナルヒート,牡5,58.0,丸山,古賀,514(+10),美浦,2020103100,01127,リアルインパクト  ,リーサルヒート  ,Unusual Heat  ,-3.0865285254033976,15
12,7,13,ディズレーリ,セ5,58.0,内田博,池上,516(-4),美浦,2020103119,00422,エピファネイア  ,レディシビル  Lady Sybil(仏)  ,Siyouni  ,-2.3193264829877993,12
13,7,14,タケルゴールド,牡4,58.0,鮫島駿,加藤征,468(-2),美浦,2021100884,01157,モーニン  ,ヒシアルコル  ,ダイワメジャー  ,-0.745959509352468,8
14,8,15,ブルージャイアント,牡3,56.0,原,蛯名正,546(+4),美浦,2022101450,01184,サンダースノー  Thunder Snow(愛)  ,ブルーチッパー  ,ボーナスフィーバー  ,-0.8522676931177966,9
15,8,16,タマモトリノ,牡3,56.0,大野,辻,508(+14),美浦,2022106199,01096,ルヴァンスレーヴ  ,タマモリド  ,ワイルドラッシュ  Wild Rush(米)  ,-0.5560658280945893,7
