,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,セイウンレガーメ,牝2,55.0,杉原,田島,436(+20),美浦,2023100032,01135,ゴールドドリーム  ,ラソ  ,パイロ  Pyro(米)  ,-4.8666405999168285,16
1,1,2,ハルヒメ,牝2,54.0,☆西塚,矢嶋,392(-6),美浦,2023103400,01200,マインドユアビスケッツ  Mind Your Biscuits(米)  ,ゴルトキルシェ  ,ステイゴールド  ,-3.6369172139208397,12
2,2,3,グラティアム,牝2,55.0,丹内,嘉藤,462(+8),美浦,2023103751,01091,ナダル  Nadal(米)  ,アリア  ,ダイワメジャー  ,-3.662592973904708,13
3,2,4,タマコロリン,牝2,52.0,▲舟山,村田,472(-6),美浦,2023105015,01221,ゴールドドリーム  ,タマノパルフェット  ,Hard Spun  (米)  ,-4.221920259687275,15
4,3,5,エンゲルベルク,牝2,52.0,▲水沼,加藤和,438(+4),美浦,2023104162,01201,サングレーザー  ,ダンスナンバー  ,グランプリボス  ,-1.422972076991256,5
5,3,6,マユナイト,牝2,55.0,斎藤,高橋康,390(+4),栗東,2023103534,01178,ミスチヴィアスアレックス  Mischevious Alex(米)  ,プランタンビジュー  ,ダイワメジャー  ,-2.160573656967713,7
6,4,7,アンセートゥモダン,牝2,53.0,◇今村,杉浦,410(+6),美浦,2023105251,01193,ルヴァンスレーヴ  ,メジャーフォルム  ,ダイワメジャー  ,-4.054632463725703,14
7,4,8,コスモラパウィラ,牡2,56.0,石川,相沢,464(0),美浦,2023104283,01150,フォーウィールドライブ  Four Wheel Drive(米)  ,エンジェルスマイル  ,エイシンフラッシュ  ,-1.1334821403827067,4
8,5,9,アンバサダネージュ,牡2,53.0,▲佐藤,武藤,490(+8),美浦,2023103216,01207,シニスターミニスター  Sinister Minister(米)  ,ヴォーグショコラ  ,アイルハヴアナザー  I'll Have Another(米)  ,-0.8807138048851324,2
9,5,10,コブラツイスト,牡2,54.0,◇永島,石栗,446(+2),美浦,2023105538,01187,ハッピースプリント  ,カゼニモマケズ  ,パイロ  Pyro(米)  ,-0.8953303626373452,3
10,6,11,イーガービーバー,牡2,53.0,▲石神道,和田郎,462(+10),美浦,2023100234,01209,トランセンド  ,スーリール  ,スペシャルウィーク  ,-0.18062146180489197,1
11,6,12,アルサック,牝2,55.0,丸山,西園正,486(+8),栗東,2023105125,01127,シルバーステート  ,スマートレイチェル  ,キングカメハメハ  ,-2.846567114229078,9
12,7,13,メイポール,牝2,55.0,黛,武市,426(-2),美浦,2023106601,01109,ホッコータルマエ  ,ファンファーレ  ,フレンチデピュティ  French Deputy(米)  ,-2.172181280396648,8
13,7,14,ドリームガッサン,牝2,52.0,▲上里,鈴木伸,432(+10),美浦,2023102748,01217,キャプテンキング  ,フルゴラ  ,エイシンフラッシュ  ,-2.926590265093167,11
14,8,15,ニャンモロー,牝2,55.0,菊沢,矢野,468(-4),美浦,2023100487,01161,フィレンツェファイア  ,ナムラバイオレット  ,チーフベアハート  Chief Bearhart(加)  ,-2.8812672035095295,10
15,8,16,ドナソレイ,牝2,52.0,▲石田,伊藤圭,470(+2),美浦,2023100150,01203,マテラスカイ  ,ポッドギル  ,フリオーソ  ,-2.115037866444026,6
