,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父
0,1,1,フォルガイル,牡4,57.0,▲水沼,加藤和,444(+6),美浦,2021101164,01201,レイデオロ  ,アディクション  ,ハーツクライ  
1,2,2,ローンウルフ,牡4,60.0,大江圭,武市,490(+14),美浦,2021104112,01120,リアルインパクト  ,シェリレーヌ  ,Mineshaft  (米)  
2,3,3,グラヴィテ,牝7,58.0,黒岩,藤野,490(+6),栗東,2018103603,01072,ネオユニヴァース  ,ファシネイト  ,キングカメハメハ  
3,4,4,サトノリアン,牡4,60.0,伴,萩原,468(0),美浦,2021104155,01149,キズナ  ,ホエールキャプチャ  ,クロフネ  
4,5,5,グローリーアテイン,セ4,60.0,草野,金成,494(+8),美浦,2021104950,01113,ヴィクトワールピサ  ,アンナミルト  ,マンハッタンカフェ  
5,6,6,マグナレガリア,牡4,60.0,五十嵐,相沢,486(-2),美浦,2021106574,01069,レイデオロ  ,デライトポイント  ,トウカイテイオー  
6,7,7,アルカンサス,牡6,57.0,▲土田,土田,478(-4),美浦,2019101023,01198,シルバーステート  ,ラサンバ  La Samba(豪)  ,Orientate  
7,7,8,ノーダブルディップ,牡7,60.0,上野,古賀,546(-6),美浦,2018104837,01087,リーチザクラウン  ,リトルディッパー  ,アグネスワールド  
8,8,9,ヒットアンドロール,牡4,60.0,石神深,田中勝,464(+20),美浦,2021104974,01059,ブリックスアンドモルタル  Bricks and Mortar(米)  ,エオリアンハープ  ,キングカメハメハ  
9,8,10,カールスタード,セ4,60.0,小牧加,武幸,490(-4),栗東,2021105554,01196,キズナ  ,シフォンカール  ,クロフネ  
