,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,クイックバイオ,牝4,53.0,菱田,畑端,498(0),栗東,2021105374,01144,ブリックスアンドモルタル,アニメイトバイオ,ゼンノロブロイ,-3.2461295417591827,12
1,2,2,トーホウガレオン,牡5,55.0,田口,谷,528(0),栗東,2020103499,01208,リアルスティール,デビルズコーナー,Songandaprayer,-2.3570325252339885,9
2,3,3,レモンバーム,牝3,50.0,田山,嘉藤,448(-6),美浦,2022106796,01220,ジョーカプチーノ,フライングメリッサ,ダンスインザダーク,-3.2188960030064995,11
3,4,4,マイエレメント,牝3,54.0,岩田望,福永,488(-4),栗東,2022101197,01174,エピファネイア,ソートアフター,ディープインパクト,-2.227269225607206,8
4,5,5,シャンパンライフ,牝3,50.0,松若,四位,458(+18),栗東,2022105534,01154,イスラボニータ,メモリアルライフ,Reckless Abandon,-1.6910165896058953,6
5,5,6,シャイニースイフト,牡5,53.0,吉田隼,菊川,442(0),美浦,2020101184,01095,ダノンバラード,ブライティアスター,ダイタクリーヴァ,-1.6543482599893489,5
6,6,7,ホウオウサンデー,牡7,56.0,吉村,井上,472(+6),栗東,2018105047,01216,キングカメハメハ,サンデースマイル,サンデーサイレンス,-1.7770197118608912,7
7,6,8,テラメリタ,牝4,55.0,岩田康,須貝,482(+2),栗東,2021105127,05203,ブリックスアンドモルタル,テラノヴァ,ヴィクトワールピサ,-0.36469852646584755,2
8,7,9,グラフィティアート,牡3,56.0,高杉,石橋,476(+2),栗東,2022101697,01213,サンダースノー,モケット,Maria's Mon,-1.3593466802878111,4
9,7,10,デファイ,牝4,53.0,斎藤,斎藤誠,460(-10),美浦,2021104421,01178,ヴィクトワールピサ,ピサノベッテル,クロフネ,-1.2992403308432126,3
10,8,11,フォーキャンドルズ,牡3,55.0,太宰,本田,510(+6),栗東,2022105422,01037,エピファネイア,デルマコイウタ,ディープブリランテ,-0.265274627220469,1
11,8,12,エイムフォーエース,牡4,55.0,酒井,武井,438(0),美浦,2021104167,01034,サトノアラジン,ラストメッセージ,ジャングルポケット,-3.0815580417492936,10
