,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,メイショウカゲカツ,牡6,60.0,難波,西園正,栗東,2019104044,01066,ダンカーク  Dunkirk(米)  ,ウォータームージカ  ,フレンチデピュティ  French Deputy(米)  
1,2,2,エレガントウインク,牝4,58.0,江田勇,土田,美浦,2021105300,01023,レッドファルクス  ,ロイヤルマリー  Royal Mary(独)  ,Monsun  
2,3,3,エクロジャイト,セ5,60.0,小牧加,武幸,栗東,2020103295,01196,ヘニーヒューズ  Henny Hughes(米)  ,オージャイト  ,キングカメハメハ  
3,4,4,フェスティヴビーム,牡5,60.0,草野,畠山,美浦,2020102452,01113,リアルスティール  ,マクシマール  ,アグネスタキオン  
4,4,5,シンドバッド,牡5,57.0,▲坂口,土田,美浦,2020106691,01211,ルーラーシップ  ,イルミナティ  ,メイショウサムソン  
5,5,6,リードアクトレス,牝4,58.0,小野寺,安達,栗東,2021102654,01123,マジェスティックウォリアー  Majestic Warrior(米)  ,ブラウンテヌート  ,シンボリクリスエス  
6,5,7,ユイノコキュウ,牡4,60.0,大江圭,竹内,美浦,2021106583,01120,マジェスティックウォリアー  Majestic Warrior(米)  ,ベッキー  ,ブラックタイド  
7,6,8,ヴォンヌヴォー,牝5,58.0,伴,天間,美浦,2020106585,01149,ドレフォン  Drefong(米)  ,ヴェイルオブクララ  ,ゼンノロブロイ  
8,6,9,ザロック,セ4,60.0,石神深,武井,美浦,2021106845,01059,コパノリッキー  ,インシスト  ,シンボリクリスエス  
9,7,10,ウィズユアドリーム,牡5,60.0,高田,宮地,栗東,2020101918,01046,サトノダイヤモンド  ,フラワーバレイ  Flower Valley(米)  ,ディスクリートキャット  Discreet Cat(米)  
10,7,11,スズノレイライン,牡4,60.0,黒岩,平田,栗東,2021102781,01072,レイデオロ  ,ココロノアイ  ,ステイゴールド  
11,8,12,フームスムート,牡8,60.0,金子,水野,美浦,2017104238,01052,トゥザグローリー  ,ディアジーローズ  ,ワイルドラッシュ  Wild Rush(米)  
12,8,13,リアルカイザー,牡4,57.0,▲土田,松永康,美浦,2021100461,01198,デクラレーションオブウォー  ,マウンテンウーマン  Mountain Woman(愛)  ,Montjeu  (愛)  
