,race_time,race_id,race_name
0,0950,202408010201,3歳未勝利
1,1005,202406010201,3歳未勝利
2,1020,202408010202,3歳新馬
3,1035,202406010202,3歳未勝利
4,1050,202408010203,3歳未勝利
5,1105,202406010203,3歳未勝利
6,1120,202408010204,4歳以上1勝クラス
7,1135,202406010204,4歳以上障害未勝利
8,1210,202408010205,3歳未勝利
9,1225,202406010205,3歳未勝利
10,1240,202408010206,3歳1勝クラス
11,1255,202406010206,3歳新馬
12,1315,202408010207,4歳以上1勝クラス
13,1325,202406010207,3歳1勝クラス
14,1350,202408010208,4歳以上2勝クラス
15,1401,202406010208,4歳以上1勝クラス
16,1425,202408010209,琵琶湖特別
17,1435,202406010209,初日の出賞
18,1501,202408010210,新春S
19,1510,202406010210,ポルックスS
20,1535,202408010211,すばるS
21,1545,202406010211,フェアリーS
22,1610,202408010212,4歳以上2勝クラス
23,1625,202406010212,4歳以上2勝クラス
