,race_time,race_id,race_name
0,0950,202504010501,3歳未勝利
1,0955,202508020701,3歳未勝利
2,1005,202505020701,3歳未勝利
3,1015,202504010502,3歳未勝利
4,1025,202508020702,3歳未勝利
5,1040,202505020702,3歳未勝利
6,1045,202504010503,3歳未勝利
7,1055,202508020703,3歳未勝利
8,1105,202505020703,3歳未勝利
9,1115,202504010504,3歳未勝利
10,1125,202508020704,3歳未勝利
11,1135,202505020704,3歳未勝利
12,1205,202504010505,3歳未勝利
13,1215,202508020705,3歳未勝利
14,1225,202505020705,3歳未勝利
15,1235,202504010506,3歳未勝利
16,1245,202508020706,4歳以上1勝クラス
17,1255,202505020706,3歳1勝クラス
18,1305,202504010507,4歳以上1勝クラス
19,1315,202508020707,4歳以上2勝クラス
20,1325,202505020707,3歳1勝クラス
21,1340,202504010508,4歳以上1勝クラス
22,1350,202508020708,京都ハイジャンプ
23,1401,202505020708,4歳以上1勝クラス
24,1415,202504010509,尖閣湾特別
25,1425,202508020709,あずさ賞
26,1435,202505020709,国分寺特別
27,1450,202504010510,中ノ岳特別
28,1501,202508020710,上賀茂S
29,1510,202505020710,立川特別
30,1525,202504010511,新潟大賞典
31,1535,202508020711,鞍馬S
32,1545,202505020711,六社S
33,1601,202504010512,4歳以上1勝クラス
34,1610,202508020712,4歳以上2勝クラス
35,1630,202505020712,4歳以上1勝クラス
