,race_time,race_id,race_name,grade
0,0940,202607020201,2歳未勝利,
1,0950,202604020201,2歳未勝利,
2,1000,202601010201,2歳未勝利,
3,1010,202607020202,2歳新馬,
4,1020,202604020202,2歳新馬,
5,1030,202601010202,3歳未勝利,
6,1040,202607020203,3歳未勝利,
7,1050,202604020203,3歳未勝利,
8,1100,202601010203,3歳未勝利,
9,1110,202607020204,3歳未勝利,
10,1120,202604020204,3歳未勝利,
11,1130,202601010204,3歳未勝利,
12,1140,202607020205,3歳未勝利,
13,1150,202604020205,3歳以上1勝クラス,
14,1220,202601010205,2歳新馬,
15,1250,202601010206,3歳未勝利,
16,1320,202601010207,3歳以上1勝クラス,
17,1350,202601010208,3歳以上1勝クラス,
18,1420,202601010209,3歳以上1勝クラス,
19,1450,202601010210,羊ケ丘特別,
20,1500,202607020206,木曽川特別,
21,1510,202604020206,出雲崎特別,
22,1525,202601010211,札幌日経賞,
23,1535,202607020207,東海S,G3
24,1545,202604020207,関屋記念,G3
25,1600,202601010212,厚岸特別,
26,1610,202607020208,遠州灘特別,
27,1620,202604020208,麒麟山特別,
28,1645,202607020209,3歳以上1勝クラス,
29,1655,202604020209,3歳以上障害未勝利,
30,1720,202607020210,3歳以上1勝クラス,
31,1730,202604020210,3歳未勝利,
32,1750,202607020211,3歳以上1勝クラス,
33,1800,202604020211,3歳以上1勝クラス,
34,1820,202607020212,3歳未勝利,
35,1830,202604020212,3歳未勝利,
