,race_time,race_id,race_name,grade
0,0940,202604030101,2歳未勝利,
1,0950,202607030101,2歳未勝利,
2,1000,202601020101,2歳未勝利,
3,1010,202604030102,2歳未勝利,
4,1020,202607030102,2歳新馬,
5,1030,202601020102,2歳未勝利,
6,1040,202604030103,2歳新馬,
7,1050,202607030103,3歳以上1勝クラス,
8,1100,202601020103,3歳未勝利,
9,1110,202604030104,3歳未勝利,
10,1120,202607030104,3歳未勝利,
11,1130,202601020104,3歳未勝利,
12,1140,202604030105,3歳未勝利,
13,1150,202607030105,3歳未勝利,
14,1220,202601020105,2歳新馬,
15,1250,202601020106,3歳未勝利,
16,1325,202601020107,3歳以上1勝クラス,
17,1400,202601020108,3歳以上1勝クラス,
18,1435,202601020109,クローバー賞,
19,1450,202604030106,長岡S,
20,1500,202607030106,大府特別,
21,1510,202601020110,WASJ第1戦,
22,1525,202604030107,朱鷺S,
23,1535,202607030107,伊賀S,
24,1545,202601020111,WASJ第2戦,
25,1600,202604030108,岩室温泉特別,
26,1610,202607030108,瀬戸特別,
27,1620,202601020112,ニセコ特別,
28,1635,202604030109,3歳以上1勝クラス,
29,1645,202607030109,3歳以上障害OP,
30,1710,202604030110,3歳以上1勝クラス,
31,1720,202607030110,3歳以上1勝クラス,
32,1740,202604030111,3歳未勝利,
33,1750,202607030111,3歳未勝利,
34,1810,202604030112,3歳未勝利,
35,1820,202607030112,3歳未勝利,
