,race_time,race_id,race_name,grade
0,0940,202607020401,3歳未勝利,
1,0950,202604020401,2歳未勝利,
2,1000,202601010401,3歳未勝利,
3,1010,202607020402,2歳新馬,
4,1020,202604020402,2歳新馬,
5,1030,202601010402,3歳未勝利,
6,1040,202607020403,2歳新馬,
7,1050,202604020403,2歳新馬,
8,1100,202601010403,3歳未勝利,
9,1110,202607020404,3歳未勝利,
10,1120,202604020404,3歳未勝利,
11,1130,202601010404,3歳以上1勝クラス,
12,1140,202607020405,3歳以上1勝クラス,
13,1150,202604020405,3歳未勝利,
14,1220,202601010405,2歳新馬,
15,1250,202601010406,3歳以上1勝クラス,
16,1320,202601010407,3歳未勝利,
17,1350,202601010408,3歳以上1勝クラス,
18,1420,202601010409,3歳以上2勝クラス,
19,1450,202601010410,ポプラS,
20,1500,202607020406,中京スポニチ賞,
21,1510,202604020406,苗場特別,
22,1525,202601010411,クイーンS,G3
23,1535,202607020407,名鉄杯,
24,1545,202604020407,アイビスSD,G3
25,1600,202601010412,苫小牧特別,
26,1610,202607020408,浜松特別,
27,1620,202604020408,五頭連峰特別,
28,1645,202607020409,3歳以上障害未勝利,
29,1655,202604020409,3歳以上1勝クラス,
30,1720,202607020410,3歳以上1勝クラス,
31,1730,202604020410,3歳以上1勝クラス,
32,1750,202607020411,3歳以上1勝クラス,
33,1800,202604020411,3歳未勝利,
34,1820,202607020412,3歳未勝利,
35,1830,202604020412,3歳未勝利,
