,race_time,race_id,race_name,grade
0,0940,202604030201,2歳未勝利,
1,0950,202607030201,2歳未勝利,
2,1000,202601020201,3歳未勝利,
3,1010,202604030202,2歳新馬,
4,1020,202607030202,2歳新馬,
5,1030,202601020202,2歳未勝利,
6,1040,202604030203,2歳新馬,
7,1050,202607030203,2歳新馬,
8,1100,202601020203,3歳未勝利,
9,1110,202604030204,3歳未勝利,
10,1120,202607030204,3歳未勝利,
11,1130,202601020204,3歳未勝利,
12,1140,202604030205,3歳未勝利,
13,1150,202607030205,3歳以上1勝クラス,
14,1220,202601020205,2歳新馬,
15,1250,202601020206,3歳以上1勝クラス,
16,1325,202601020207,3歳以上1勝クラス,
17,1400,202601020208,3歳以上1勝クラス,
18,1435,202601020209,ルスツ特別,
19,1450,202604030206,古町S,
20,1500,202607030206,有松特別,
21,1510,202601020210,WASJ第3戦,
22,1525,202604030207,新潟2歳S,G3
23,1535,202607030207,名古屋城S,
24,1545,202601020211,キーンランドC,G3
25,1600,202604030208,飯豊特別,
26,1610,202607030208,豊川特別,
27,1620,202601020212,WASJ第4戦,
28,1635,202604030209,3歳以上1勝クラス,
29,1645,202607030209,3歳以上障害未勝利,
30,1710,202604030210,3歳以上1勝クラス,
31,1720,202607030210,3歳未勝利,
32,1740,202604030211,3歳以上1勝クラス,
33,1750,202607030211,3歳以上1勝クラス,
34,1810,202604030212,3歳未勝利,
35,1820,202607030212,3歳未勝利,
