,race_time,race_id,race_name,grade
0,0950,202602010201,3歳未勝利,
1,0955,202605030401,3歳未勝利,
2,1005,202609030401,3歳未勝利,
3,1015,202602010202,3歳未勝利,
4,1025,202605030402,3歳未勝利,
5,1035,202609030402,3歳未勝利,
6,1045,202602010203,3歳未勝利,
7,1055,202605030403,3歳未勝利,
8,1105,202609030403,3歳未勝利,
9,1115,202602010204,3歳未勝利,
10,1125,202605030404,2歳新馬,
11,1135,202609030404,3歳未勝利,
12,1205,202602010205,2歳新馬,
13,1215,202605030405,2歳新馬,
14,1225,202609030405,2歳新馬,
15,1235,202602010206,3歳未勝利,
16,1245,202605030406,3歳以上1勝クラス,
17,1255,202609030406,3歳以上1勝クラス,
18,1305,202602010207,3歳以上1勝クラス,
19,1320,202605030407,3歳以上1勝クラス,
20,1325,202609030407,3歳以上1勝クラス,
21,1335,202602010208,3歳以上1勝クラス,
22,1345,202605030408,3歳以上1勝クラス,
23,1355,202609030408,逆瀬川特別,
24,1405,202602010209,八雲特別,
25,1415,202605030409,芦ノ湖特別,
26,1425,202609030409,武庫川特別,
27,1440,202602010210,津軽海峡特別,
28,1450,202605030410,江の島S,
29,1501,202609030410,花のみちS,
30,1515,202602010211,函館日刊スポーツ杯,
31,1525,202605030411,パラダイスS,
32,1540,202609030411,宝塚記念,G1
33,1605,202602010212,3歳以上1勝クラス,
34,1615,202605030412,3歳以上2勝クラス,
35,1630,202609030412,リボン賞,
