,race_time,race_id,race_name,grade
0,0950,202602010701,2歳未勝利,
1,0955,202610020301,3歳以上障害未勝利,
2,1005,202603020301,2歳未勝利,
3,1020,202602010702,3歳未勝利,
4,1030,202610020302,3歳未勝利,
5,1040,202603020302,3歳未勝利,
6,1050,202602010703,3歳未勝利,
7,1100,202610020303,3歳未勝利,
8,1110,202603020303,3歳未勝利,
9,1120,202602010704,3歳未勝利,
10,1130,202610020304,3歳未勝利,
11,1140,202603020304,3歳未勝利,
12,1210,202602010705,2歳新馬,
13,1220,202610020305,2歳新馬,
14,1230,202603020305,2歳新馬,
15,1240,202602010706,3歳未勝利,
16,1250,202610020306,3歳未勝利,
17,1300,202603020306,2歳新馬,
18,1310,202602010707,3歳以上1勝クラス,
19,1320,202610020307,3歳未勝利,
20,1330,202603020307,3歳未勝利,
21,1340,202602010708,3歳以上1勝クラス,
22,1350,202610020308,3歳以上1勝クラス,
23,1400,202603020308,3歳以上1勝クラス,
24,1410,202602010709,恵山特別,
25,1420,202610020309,小郡特別,
26,1435,202603020309,伊達特別,
27,1445,202602010710,竜飛崎特別,
28,1455,202610020310,雲仙特別,
29,1510,202603020310,横手特別,
30,1520,202602010711,TVh杯,
31,1530,202610020311,博多S,
32,1545,202603020311,TUF杯,
33,1605,202602010712,3歳以上1勝クラス,
34,1615,202610020312,3歳以上1勝クラス,
35,1630,202603020312,3歳以上1勝クラス,
