,式別,馬番,配当,人気
0,単勝,8,250,1
1,複勝,8,120,1
2,複勝,2,180,5
3,複勝,5,130,2
4,枠連,2-6,920,4
5,馬連,2-8,950,2
6,ワイド,2-8,340,2
7,ワイド,5-8,270,1
8,ワイド,2-5,490,6
9,馬単,8→2,1670,4
10,3連複,2-5-8,1610,2
11,3連単,8→2→5,6880,6
