,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ゴールドブリーズ,牡6,60.0,石神深,深山,美浦,2018102196,01059,トゥザワールド ,ゴールドジャパン ,スターリングローズ 
1,2,2,ナリノモンターニュ,牡7,61.0,五十嵐,上原博,美浦,2017104700,01069,ヴィクトワールピサ ,オメガアイランド ,エルコンドルパサー 
2,3,3,ブリエヴェール,牡6,60.0,大江圭,小笠,美浦,2018104849,01120,エイシンフラッシュ ,レイヨンヴェール ,ゴールドアリュール 
3,4,4,スヴァルナ,セ9,61.0,森一,池江,栗東,2015104512,01139,ステイゴールド ,ブルーミングアレー ,シンボリクリスエス 
4,5,5,インプレス,牡5,61.0,小牧加,佐々木,栗東,2019104899,01196,キズナ ,ベアトリスII Beatrice(英) ,Dr Fong (米) 
5,6,6,トーセンオリジン,牡7,60.0,上野,和田雄,美浦,2017104415,01087,ディープインパクト ,トーセンブリリアン ,ホワイトマズル White Muzzle(英) 
6,6,7,メルテミア,牡6,60.0,小坂,小栗,栗東,2018103266,01063,トゥザグローリー ,ミコノス ,With Approval 
7,7,8,ガイフウカイセイ,牡5,60.0,草野,松山,美浦,2019102649,01113,ミッキーアイル ,クリスマドンナ ,シンボリクリスエス 
8,7,9,デシマルサーガ,牡4,60.0,伴,粕谷,美浦,2020100046,01149,バゴ Bago(仏) ,ラリエット ,メイショウボーラー 
9,8,10,アスターディゴン,牡5,61.0,黒岩,中竹,栗東,2019103563,01072,キズナ ,アースプレイ ,ゼンノロブロイ 
10,8,11,アンクルブラック,牡4,60.0,高田,高橋亮,栗東,2020101756,01046,キタサンブラック ,ウインクルキラリ ,ダンスインザダーク 
