,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,アサクサゲンキ,セ10,60.0,小牧加,音無,栗東,2015110032,01196,Stormy Atlantic ,Amelia ,Dixieland Band 
1,2,2,ブラックボイス,牡6,60.0,石神深,宮田,美浦,2019105276,01059,ブラックタイド ,ソングライティング ,Giant's Causeway (米) 
2,3,3,アランデル,セ7,60.0,上野,大竹,美浦,2018104994,01087,ハービンジャー Harbinger(英) ,ガラディナー ,サンデーサイレンス Sunday Silence(米) 
3,3,4,テイエムタツマキ,牡7,60.0,黒岩,武英,栗東,2018104463,01072,キズナ ,ウィローパドック ,クロフネ 
4,4,5,サイード,セ6,60.0,小坂,角田,栗東,2019103152,01063,キズナ ,セレブラール ,ボストンハーバー Boston Harbor(米) 
5,4,6,ナリノモンターニュ,牡8,60.0,五十嵐,上原博,美浦,2017104700,01069,ヴィクトワールピサ ,オメガアイランド ,エルコンドルパサー 
6,5,7,ザレストノーウェア,牡7,60.0,伴,新開,美浦,2018105291,01149,ディープインパクト ,ミュージカルウェイ Musical Way(仏) ,Gold Away 
7,5,8,スマイルスルー,牡5,60.0,高田,斉藤崇,栗東,2020103446,01046,ルーラーシップ ,スマイルシャワー ,シンボリクリスエス 
8,6,9,サペラヴィ,牡8,60.0,江田勇,南田,美浦,2017100316,01023,ローズキングダム ,セミニョン ,マンハッタンカフェ 
9,6,10,ドゥラモンド,牡7,60.0,森一,手塚,美浦,2018105078,01139,ドゥラメンテ ,シーズインクルーデッド She's Included(米) ,Include 
10,7,11,エンデュミオン,牡8,60.0,小野寺,清水久,栗東,2017106153,01123,ヴィクトワールピサ ,ヒラボクビジン ,ブライアンズタイム Brian's Time(米) 
11,7,12,ピーターサイト,牡5,60.0,大江圭,村田,美浦,2020105611,01120,ワンアンドオンリー ,ヴィクトリアアイ ,ブライアンズタイム Brian's Time(米) 
12,8,13,サクラトップラン,牝6,58.0,田村,中尾,栗東,2019106340,01105,ホッコータルマエ ,シャンパントパーズ ,ワイルドラッシュ Wild Rush(米) 
13,8,14,パーリーブラック,牡5,60.0,草野,伊坂,美浦,2020103539,01113,キタサンブラック ,パーリーアヴェニュー Pearly Avenue(英) ,Anabaa 
