,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ウインデイジー,牝4,56.0,マーカンド,宮,454(-4),栗東,2021106194,05626,ゴールドシップ,ウインアキレア,コンデュイット Conduit(愛),2.518144473426988,4
1,1,2,アットアブラスト,セ5,57.0,☆西塚,小椋,454(-4),栗東,2020101323,01200,ゼンノロブロイ,ウィンディガーデン,タニノギムレット,1.8945657721543772,5
2,2,3,ドルチェリターン,牡3,56.0,坂井,池添,462(0),栗東,2022104598,01163,ハービンジャー Harbinger(英),アソルータ,ゼンノロブロイ,2.726727679383179,2
3,2,4,スワローサプライズ,牝3,51.0,▲和田陽,杉山晴,466(+4),栗東,2022100094,01223,エピファネイア,ナニアヒアヒ,キングカメハメハ,2.838936172623384,1
4,3,5,ヘルツアス,牝4,56.0,松若,森田,422(-4),栗東,2021105985,01154,バゴ Bago(仏),ラインハート,ステイゴールド,1.5440904863318385,11
5,3,6,ムーンスカイ,牡5,58.0,高杉,牧田,456(+2),栗東,2020102273,01213,トゥザワールド,スターリットスカイ,フジキセキ,1.6001059941360376,10
6,4,7,ロットブラータ,牡3,56.0,Ｃデムーロ,平田,530(-6),栗東,2022104688,05473,エピファネイア,エマノン,ハーツクライ,2.53278328329041,3
7,4,8,アロガントシェイム,牝3,54.0,長岡禎仁,杉山佳,480(+2),栗東,2022105360,01142,ブリックスアンドモルタル Bricks and Mortar(米),ジェラテリアバール,マンハッタンカフェ,1.4507099381028146,12
8,5,9,ヤマニンヒストリア,牡3,56.0,松山,中村,464(+6),栗東,2022106607,01126,サトノクラウン,ヤマニンナジャーハ,ディープインパクト,1.177333273188972,14
9,5,10,デルシエロ,牡4,57.0,☆吉村,清水久,416(+2),栗東,2021103520,01216,レイデオロ,ネオヴィクトリア,ディープインパクト,1.8505905710308574,7
10,6,11,チャイボーグ,牝5,56.0,和田竜,的場,492(+2),美浦,2020104778,01018,シャンハイボビー Shanghai Bobby(米),アンスタンフィール,スタチューオブリバティ Statue of Liberty(米),0.019133403334985227,18
11,6,12,レジェンドシップ,セ5,58.0,西村淳,佐藤悠,460(+4),栗東,2020103910,01171,ゴールドシップ,タニノハイクレア,クロフネ,1.8584763940388418,6
12,7,13,ジーティートシオー,牡3,56.0,鮫島駿,西村,466(0),栗東,2022104661,01157,バゴ Bago(仏),ウォークロニクル,ウォーエンブレム War Emblem(米),0.1361651988915983,17
13,7,14,ドーギッド,牝3,54.0,横山武,矢作,474(+4),栗東,2022105766,01170,オルフェーヴル,インフレキシビリティ Inflexibility(加),Scat Daddy (米),1.8328923543070557,8
14,7,15,セイキュート,牝3,54.0,岩田望,四位,474(-2),栗東,2022104850,01174,サトノダイヤモンド,スクールミストレス Schoolmistress(亜),Equal Stripes,1.2075814780195133,13
15,8,16,ピエナオルフェ,牡4,58.0,城戸,荒川,452(-8),栗東,2021101155,01147,オルフェーヴル,ピエナブラウニー,フジキセキ,1.7462679007986373,9
16,8,17,テイクザクラウン,牡4,58.0,川又,吉村,450(+6),栗東,2021102379,01166,サトノクラウン,アムールレジェンド,ディープインパクト,0.913765545746066,15
17,8,18,メイショウキンタイ,牡3,53.0,▲田山,高橋亮,476(-2),栗東,2022100068,01220,フィエールマン,ビーマイステディ,ヴィクトワールピサ,0.5863944674226678,16
