,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,アトリ,牝2,55.0,岩田望,清水久,466(0),栗東,2023106885,01174,シスキン  Siskin(米)  ,ウィキッドリーパーフェクト  Wickedly Perfect(米)  ,Congrats  (米)  ,-2.300058826782489,9
1,2,2,ハロングロットル,牡2,53.0,▲遠藤,伊藤伸,448(+2),美浦,2023106603,01218,ウインブライト  ,ブリッサ  ,ブラックホーク  ,-2.2410300016164815,8
2,3,3,チャリングクロス,牡2,56.0,内田博,奥村武,488(+20),美浦,2023107389,00422,キタサンブラック  ,ライジングクロス  Rising Cross(英)  ,Cape Cross  ,-0.1895957210961295,2
3,4,4,ツキノマバタキ,牝2,55.0,津村,牧,434(+8),美浦,2023103569,01092,エイシンフラッシュ  ,ムーンビード  ,American Pharoah  (米)  ,-0.3807093723979992,4
4,5,5,ゼータレティクル,牝2,55.0,丹内,小手川,466(+4),美浦,2023106416,01091,ビーチパトロール  Beach Patrol(米)  ,コスモレティクルム  ,ダノンシャンティ  ,-0.03984312427786802,1
5,6,6,イブキ,牡2,56.0,原,矢野,458(+4),美浦,2023105248,01184,レイデオロ  ,ブリッジクライム  ,ゼンノロブロイ  ,-1.4769232270330799,7
6,7,7,フロステリオン,牡2,56.0,菊沢,萱野,442(0),美浦,2023102266,01161,ディープブリランテ  ,リゼブルー  ,ダンカーク  Dunkirk(米)  ,-0.9471970105034275,5
7,7,8,タイドグラフ,牡2,54.0,△長浜,上原博,474(0),美浦,2023103560,01214,ブラックタイド  ,マッチレスギフト  ,Frankel  ,-0.3247832820365679,3
8,8,9,アルデキングダム,牡2,56.0,横山典,村田,462(-2),美浦,2023102160,00660,アニマルキングダム  Animal Kingdom(米)  ,タキオンメーカー  ,エンパイアメーカー  Empire Maker(米)  ,-1.2845419808646046,6
9,8,10,ブリサマリーナ,牝2,55.0,菅原明,久保田,468(+4),美浦,2023103066,01179,サートゥルナーリア  ,ディープラヴ  ,ディープインパクト  ,-2.85140057604017,10
