,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ダノンジャガー,牡3,55.0,荻野極,池江,514(-2),栗東,2022104717,01160,キズナ  ,カヴァートラブ  Covert Love(愛)  ,Azamour  (愛)  ,0.5315012922783673,2
1,2,2,ピースヒロフェイス,牝4,56.0,木幡巧,牧,468(+8),美浦,2021105769,01162,サトノダイヤモンド  ,ペルヴィアンリリー  ,フレンチデピュティ  French Deputy(米)  ,-1.067333631632468,6
2,3,3,サンライズガッツ,牡4,58.0,松山,茶木,488(+2),栗東,2021105982,01126,レイデオロ  ,メジロマリアン  ,メジロベイリー  ,-1.0810515731342003,7
3,4,4,アロンズロッド,牡3,55.0,ルメール,国枝,488(+2),美浦,2022104635,05339,エピファネイア  ,アーモンドアイ  ,ロードカナロア  ,-2.717358606039385,11
4,5,5,レッドヴァリアート,牡3,55.0,横山武,加藤公,452(0),栗東,2022105290,01170,ルーラーシップ  ,ガールズバンド  ,ディープインパクト  ,-1.555393420309242,8
5,6,6,ノラリクラリ,牡3,55.0,丹内,藤岡,434(-2),栗東,2022105633,01091,シュヴァルグラン  ,ディープストーリー  ,ディープインパクト  ,-0.9508749113529696,5
6,6,7,ビリングス,牡3,55.0,石川,手塚久,470(+8),美浦,2022104930,01150,フィエールマン  ,トレジャーステイト  ,Oasis Dream  (英)  ,0.3609519112189687,3
7,7,8,ティムール,牡5,58.0,三浦,中竹,478(-6),栗東,2020103048,01122,キズナ  ,ホワイトローズII  White Rose(米)  ,Tapit  (米)  ,0.1116816866895198,4
8,7,9,サラダ,牝3,53.0,武豊,武英,452(+8),栗東,2022100128,00666,リアルスティール  ,エピファレーヌ  ,エピファネイア  ,-1.9310580113933837,9
9,8,10,マーゴットソラーレ,牡4,55.0,▲上里,伊坂,446(-2),美浦,2021104831,01217,ノヴェリスト  Novellist(愛)  ,インクレセント  ,アグネスタキオン  ,0.8764709428911227,1
10,8,11,メイショウアゴナス,牡3,55.0,石橋脩,本田,476(-16),栗東,2022103263,01077,スワーヴリチャード  ,メイショウブーケ  ,フレンチデピュティ  French Deputy(米)  ,-2.0879418673492003,10
