,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,アドマイヤマツリ,牝4,55.0,武豊,宮田,470(+16),美浦,2021101549,00666,キタサンブラック  ,アドマイヤナイト  ,アドマイヤムーン  ,0.8869675896319378,3
1,1,2,アンゴラブラック,牝4,55.0,戸崎圭,尾関,470(+10),美浦,2021105738,05386,キズナ  ,ブラックモリオン  ,ルーラーシップ  ,0.49913397129232656,7
2,2,3,キャットファイト,牝4,55.0,大野,上原博,480(+22),美浦,2021101685,01096,ディスクリートキャット  Discreet Cat(米)  ,フラマブル  ,パイロ  Pyro(米)  ,0.567894014582818,5
3,2,4,フィールシンパシー,牝6,55.0,横山琉,小島,464(+8),美浦,2019105768,01192,ベーカバド  Behkabad(仏)  ,スマートシンパシー  ,ダンスインザダーク  ,-0.13070274244808056,12
4,3,5,リラボニート,牝4,55.0,横山武,須貝,466(-2),栗東,2021103519,01170,スクリーンヒーロー  ,ネイティヴコード  ,アグネスデジタル  ,1.0607607904935785,2
5,3,6,セフィロ,牝5,55.0,横山和,菊沢,474(+10),美浦,2020102836,01140,イスラボニータ  ,クリスプウインド  ,ハーツクライ  ,0.7685328578937507,4
6,4,7,カナテープ,牝6,55.0,佐々木,堀,468(-14),美浦,2019105293,01197,ロードカナロア  ,ティッカーテープ  Ticker Tape(英)  ,Royal Applause  ,0.41353774929627424,9
7,4,8,ボンドガール,牝4,55.0,ルメール,手塚久,458(+2),美浦,2021107179,05339,ダイワメジャー  ,コーステッド  Coasted(米)  ,Tizway  (米)  ,1.20565761137863,1
8,5,9,ピースオブザライフ,牝5,55.0,菊沢,野中,492(+4),栗東,2020101024,01161,キタサンブラック  ,サンキューアスク  ,シンボリクリスエス  ,0.4964649146125127,8
9,5,10,ライラック,牝6,55.0,石川,相沢,458(+4),美浦,2019103588,01150,オルフェーヴル  ,ヴィーヴァブーケ  ,キングカメハメハ  ,-1.2750648040794357,14
10,6,11,セキトバイースト,牝4,55.0,浜中,四位,478(+20),栗東,2021103975,01115,デクラレーションオブウォー  ,ベアフットレディ  Barefoot Lady(愛)  ,Footstepsinthesand  (英)  ,-1.5994113526288494,16
11,6,12,ドゥアイズ,牝5,55.0,三浦,庄野,476(-8),栗東,2020103732,01122,ルーラーシップ  ,ローズマンブリッジ  ,ディープインパクト  ,-0.10568099440098645,11
12,7,13,サフィラ,牝4,56.0,松山,池添,464(+10),栗東,2021105541,01126,ハーツクライ  ,サロミナ  Salomina(独)  ,Lomitas  ,-1.2055396939653125,13
13,7,14,ホウオウラスカーズ,牝7,55.0,木幡巧,高木,458(+2),美浦,2018103535,01162,ディープインパクト  ,ビーコンターン  Beacon Tarn(英)  ,Shamardal  (米)  ,-0.039285609700894036,10
14,8,15,ラヴァンダ,牝4,55.0,岩田望,中村,488(-4),栗東,2021107098,01174,シルバーステート  ,ゴッドパイレーツ  ,ベーカバド  Behkabad(仏)  ,-1.5555072962823162,15
15,8,16,アンリーロード,牝5,55.0,荻野極,茶木,482(0),栗東,2020103304,01160,リアルスティール  ,カシシ  ,ジャングルポケット  ,0.5589685816566531,6
