,式別,馬番,配当,人気
0,単勝,14,210,1
1,複勝,14,110,1
2,複勝,13,150,3
3,複勝,16,180,4
4,枠連,7-7,480,2
5,馬連,13-14,460,1
6,ワイド,13-14,200,1
7,ワイド,14-16,290,3
8,ワイド,13-16,520,7
9,馬単,14→13,780,1
10,3連複,13-14-16,1070,2
11,3連単,14→13→16,3010,3
