,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,プチプランス,牡3,56.0,藤岡佑,藤岡,492(-6),栗東,2022101565,01093,リアルスティール  ,シャイスター  Shyster(亜)  ,Equal Stripes  ,-2.5024734913355675,9
1,2,2,エリカヴェネチア,牝4,56.0,高杉,吉岡,492(-6),栗東,2021110106,01213,Curlin  (米)  ,First Passage  ,Giant's Causeway  (米)  ,-1.5567008342436808,6
2,3,3,サンダーユニバンス,牡4,58.0,城戸,奥村豊,474(-2),栗東,2021105839,01147,ドレフォン  Drefong(米)  ,ラテラス  ,Harlan's Holiday  ,-1.674953403565842,7
3,4,4,ディニテ,牡3,56.0,松山,辻野,498(+2),栗東,2022105695,01126,エピファネイア  ,ゴールディーエスポニー  Goldy Espony(仏)  ,Vespone  ,-1.4040227884089829,5
4,5,5,ポイントネモ,牡3,56.0,菱田,大久保,488(-2),栗東,2022101622,01144,アメリカンペイトリオット  ,アクアリスト  Aquarist(英)  ,コロナドズクエスト  Coronado's Quest(米)  ,-4.552421099111701,11
5,6,6,ゴルデールスカー,牡5,58.0,西村淳,加藤公,480(+10),栗東,2020103625,01171,モーリス  ,マラムデール  ,フレンチデピュティ  French Deputy(米)  ,-2.438645010424487,8
6,6,7,リアルペガサス,牡4,58.0,田口,大橋,464(+10),栗東,2021103316,01208,ダンカーク  Dunkirk(米)  ,ボストンビリーヴ  ,アグネスタキオン  ,-0.8163511135231748,2
7,7,8,マジックブルー,牡4,58.0,団野,荒川,502(+6),栗東,2021103682,01180,マジェスティックウォリアー  Majestic Warrior(米)  ,エンパイアブルー  ,エンパイアメーカー  Empire Maker(米)  ,-0.42746816586025344,1
8,7,9,ミライエイゴウ,牡3,53.0,▲田山,四位,454(+6),栗東,2022102133,01220,ミッキーアイル  ,スターリングブルス  ,Hard Spun  (米)  ,-0.9270395558038073,4
9,8,10,アークドール,牡4,58.0,浜中,松永幹,444(-6),栗東,2021110012,01115,Golden Horn  (英)  ,ラルク  ,ディープインパクト  ,-0.8435824076954507,3
10,8,11,ニシノミチアキ,牡3,56.0,池添,吉村,494(+22),栗東,2022104403,01032,ニューイヤーズデイ  ,パラーティウム  ,マンハッタンカフェ  ,-3.525273958787636,10
