,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父
0,1,1,コレペティトール,セ5,57.0,▲井上,中竹,488(+10),栗東,2020103043,01151,ジャスタウェイ  ,ベガスナイト  ,コロナドズクエスト  Coronado's Quest(米)  
1,2,2,スマラグドス,牡5,60.0,田村,西園正,480(0),栗東,2020102798,01105,ハーツクライ  ,エメラルドスター  Emerald Star(英)  ,Mount Nelson  (英)  
2,3,3,テーオーサンドニ,牡6,60.0,小野寺,高柳大,478(-6),栗東,2019104079,01123,キタサンブラック  ,ポールポジションII  Pole Position(英)  ,Pivotal  
3,4,4,セイフウサツキ,牡3,58.0,難波,松永幹,468(+12),栗東,2022101461,01066,サトノクラウン  ,モンローライン  ,ダンスインザダーク  
4,5,5,ホウオウプレシャス,牡5,57.0,▲水沼,天間,490(0),美浦,2020103939,01201,イスラボニータ  ,プレシャスドロップ  ,フレンチデピュティ  French Deputy(米)  
5,6,6,ランスオブサターン,牝5,58.0,中村,本田,472(+4),栗東,2020104772,01101,キタサンブラック  ,マイティティー  ,エンパイアメーカー  Empire Maker(米)  
6,6,7,ゲインサポート,セ4,60.0,森一,斉藤崇,458(+14),栗東,2021104590,01139,デクラレーションオブウォー  ,ローザミスティカ  ,アグネスタキオン  
7,7,8,アスクオンディープ,セ6,60.0,小牧加,前川,506(+14),栗東,2019101612,01196,ディープインパクト  ,カラズマッチポイント  Kara's Match Point(米)  ,Curlin  (米)  
8,7,9,カイコウ,セ4,60.0,五十嵐,田島,468(+8),美浦,2021102388,01069,スクリーンヒーロー  ,トウカイクルーク  ,エンパイアメーカー  Empire Maker(米)  
9,8,10,サトノグレイト,セ5,60.0,黒岩,中竹,500(+8),栗東,2020102971,01072,ダイワメジャー  ,ノヴァホーク  Nova Hawk(英)  ,Hawk Wing  
10,8,11,ゴールデンスロープ,セ4,60.0,大江圭,小笠,438(-2),美浦,2021102482,01120,ゴールドシップ  ,ブリュメール  ,ティンバーカントリー  Timber Country(米)  
