,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,デルマグレムリン,牡6,58.0,高杉,緒方,462(+4),栗東,2019105877,01213,ディーマジェスティ  ,レディクローリス  ,フォーティナイナー  Forty Niner(米)  ,-3.9621617265313693,10
1,2,2,ジョイボーイ,牡3,55.0,岩田望,四位,484(0),栗東,2022103787,01174,レイデオロ  ,マンハイム  ,ダイワメジャー  ,-1.3983995295327278,4
2,3,3,パーサヴィアランス,牡6,58.0,角田和,西村,464(-2),栗東,2019105330,01186,ドレフォン  Drefong(米)  ,ハッピーアビラ  ,ディープインパクト  ,-2.519363721398417,6
3,4,4,シュバルツマサムネ,牡3,55.0,藤岡佑,杉山佳,470(+8),栗東,2022104887,01093,マインドユアビスケッツ  Mind Your Biscuits(米)  ,タンザニアブラック  ,モーリス  ,-3.80458692993183,9
4,5,5,スカイドゥエラー,牡7,58.0,井上,谷,458(+14),栗東,2018100961,01151,キズナ  ,フリーバード  ,アフリート  Afleet(加)  ,-2.6682038664617087,7
5,6,6,リギーロ,牡3,55.0,西村淳,栗田,476(0),美浦,2022106624,01171,キズナ  ,エディン  ,ジャングルポケット  ,-1.0716346239229204,3
6,7,7,ライフセービング,牡4,58.0,岩田康,宮,454(+4),栗東,2021105285,05203,ビーチパトロール  Beach Patrol(米)  ,レインダンス  ,ダンスインザダーク  ,-3.205133570949015,8
7,7,8,カエルム,牡4,58.0,鮫島駿,安田,478(0),栗東,2021105160,01157,ブラックタイド  ,ハウオリ  ,キングカメハメハ  ,1.0225604397523729,2
8,8,9,ショウナンハウル,セ4,58.0,松若,松下,498(0),栗東,2021105867,01154,レイデオロ  ,リンフォルツァンド  ,ディープインパクト  ,-1.7919343537505692,5
9,8,10,ローレルキャニオン,牡5,58.0,田口,加藤公,--,栗東,2020103329,01208,ジャスタウェイ  ,キャンプロック  Camprock(仏)  ,Myboycharlie  ,1.550532964527645,1
