,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,アサクサヴィーナス,牝5,56.0,大野,高柳瑞,450(0),美浦,2020102741,01096,モーリス  ,アサクサティアラ  ,ディープインパクト  ,-1.3644470611720385,16
1,1,2,クインズスピカ,牝4,56.0,横山典,村田,492(+22),美浦,2021106559,00660,ルーラーシップ  ,アースザスリー  ,シンボリクリスエス  ,-0.902127172368743,13
2,2,3,エンジェルブリーズ,牝3,54.0,横山和,中舘,454(0),美浦,2022104418,01140,エピファネイア  ,レーヌミノル  ,ダイワメジャー  ,-0.3382266982020752,8
3,2,4,パーリーラスター,牝3,52.0,△長浜,池上,430(-14),美浦,2022105559,01214,モーリス  ,リュミエールドール  ,ルーラーシップ  ,-0.4567345922337916,9
4,3,5,ロンドンアームズ,牝4,56.0,三浦,伊坂,458(+8),美浦,2021105956,01122,グレーターロンドン  ,エンブレマータ  ,ウォーエンブレム  War Emblem(米)  ,-0.28951552722616175,7
5,3,6,ブエナディオサ,牝6,56.0,津村,奥平,468(+10),美浦,2019106938,01092,メイショウボーラー  ,ヴェイグストーリー  ,ゴールドアリュール  ,-3.1177918993271563,17
6,4,7,カイトグート,牝4,56.0,柴田大,和田雄,478(+4),美浦,2021106308,01009,キズナ  ,マリブウィン  Malibu Win(米)  ,Malibu Moon  ,0.8420987737157,3
7,4,8,イコノスタシス,牝5,56.0,北村宏,古賀,500(0),美浦,2020103530,01043,モーリス  ,パストフォリア  ,シンボリクリスエス  ,-1.0438491155179574,14
8,5,9,ベラジオワールド,牡3,55.0,横山武,伊藤大,486(+2),美浦,2022110130,01170,Exceedance  ,Beechal  ,Lonhro  (豪)  ,-0.8960917629089588,12
9,5,10,ラミアメンテ,牝3,54.0,佐々木,堀,500(+2),美浦,2022105858,01197,ドゥラメンテ  ,ラフォルス  La Force(独)  ,Power  ,2.071429209857502,1
10,6,11,アルレッキーノ,セ3,56.0,ルメール,国枝,456(+8),美浦,2022104898,05339,ブリックスアンドモルタル  Bricks and Mortar(米)  ,チェッキーノ  ,キングカメハメハ  ,0.15693224297045866,5
11,6,12,ミクストベリーズ,牡3,56.0,川田,伊藤圭,480(+6),美浦,2022110038,01088,Iffraaj  ,トゥウィンクルベリー  ,Kodiac  ,-1.314301834518813,15
12,7,13,モティスフォント,牡3,56.0,戸崎圭,田村,494(+2),美浦,2022104953,05386,モーリス  ,バンゴール  ,キングカメハメハ  ,-0.4859761514016441,10
13,7,14,ロジカルワーズ,牡4,58.0,北村友,大竹,500(-6),美浦,2021110020,01102,New Approach  ,Discursus  ,Dubawi  ,1.00245277786799,2
14,8,15,ヴィヴァクラウン,牡4,58.0,木幡巧,杉浦,482(+4),美浦,2021101595,01162,サトノクラウン  ,セトノフラッパー  ,タイキシャトル  ,-0.5002691435971746,11
15,8,16,アトリウムチャペル,牝4,56.0,坂井,浅利,434(+14),美浦,2021105078,01163,ドレフォン  Drefong(米)  ,ジュリエットベール  ,ヴィクトワールピサ  ,-0.19850721348518344,6
16,8,17,シホリーン,牝3,54.0,武豊,武井,458(+6),美浦,2022105972,00666,モーリス  ,パンデリング  ,キングカメハメハ  ,0.29682880434148984,4
