,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,クレメダンジュ,牝5,56.0,酒井,鈴木孝,482(+10),栗東,2020105627,01034,ラニ  ,シェルエメール  ,ジャングルポケット  ,-1.7822993955293134,12
1,1,2,メイショウポペット,牝5,56.0,松若,角田,498(+10),栗東,2020106896,01154,ヴィクトワールピサ  ,マリエット  ,Uncle Mo  (米)  ,-2.2782621783285797,14
2,2,3,メテオールライト,牝5,56.0,岩田望,萩原,434(0),美浦,2020103247,01174,リオンディーズ  ,ウインミーティア  ,アグネスタキオン  ,-0.7170406905295391,8
3,2,4,リバートゥルー,牝5,56.0,吉田豊,久保田,466(-4),美浦,2020102703,00733,レッドファルクス  ,フルオブグレース  ,ヴィクトワールピサ  ,-1.1854763200113025,10
4,3,5,レイナデアルシーラ,牝3,54.0,田口,西園正,512(+12),栗東,2022104628,01208,ナダル  Nadal(米)  ,アンデスクイーン  ,タートルボウル  Turtle Bowl(愛)  ,0.9095231513130133,4
5,3,6,パルクリチュード,牝5,56.0,鮫島駿,松永幹,464(+8),栗東,2020103361,01157,Gun Runner  (米)  ,グローバルビューティ  Global Beauty(亜)  ,Global Hunter  ,1.6055311736712883,1
6,4,7,イージーオンミー,牝5,56.0,西村淳,中舘,442(-6),美浦,2020101143,01171,ダイワメジャー  ,ビービーバーレル  ,パイロ  Pyro(米)  ,0.1463309808927459,6
7,4,8,サイモンブーケ,牝5,56.0,古川奈,梅田,516(-6),栗東,2020102317,01190,ダイワメジャー  ,サイモンガーランド  ,ロージズインメイ  Roses in May(米)  ,-2.4369601622534955,16
8,5,9,ルージュアベリア,牝4,56.0,高杉,加藤士,486(-2),美浦,2021105058,01213,キズナ  ,シアードラマ  Sheer Drama(米)  ,Burning Roma  ,-2.1148012329008643,13
9,5,10,タガノチョコラータ,牝5,56.0,岩田康,角田,516(+4),栗東,2020105533,05203,アメリカンペイトリオット  ,スペシャルディナー  ,スペシャルウィーク  ,-2.379326654182294,15
10,6,11,スミ,牝6,56.0,角田和,高橋亮,498(+6),栗東,2019106604,01186,リオンディーズ  ,マーヴェリックス  ,Smart Strike  (加)  ,-0.07735506871703392,7
11,6,12,ライジングラパス,牝5,56.0,荻野琢,宮本,458(+6),栗東,2020109096,01112,ダノンバラード  ,ボーナスチャンス  ,エンパイアメーカー  Empire Maker(米)  ,-0.8741970585878933,9
12,7,13,アグラシアド,牝5,56.0,藤岡佑,中村,476(-12),栗東,2020104912,01093,リアルスティール  ,サラシー  Salasie(仏)  ,Teofilo  ,-1.396816966139191,11
13,7,14,ピクシレーション,牝5,56.0,吉村,菊沢,484(-2),美浦,2020102868,01216,ハーツクライ  ,シアードラマ  Sheer Drama(米)  ,Burning Roma  ,0.8870920236699537,5
14,8,15,バロッサヴァレー,牝5,56.0,和田竜,高野,488(0),栗東,2020103553,01018,ハーツクライ  ,ピラミマ  ,Unbridled's Song  (米)  ,1.2902578316102693,2
15,8,16,タマモプルメリア,牝4,56.0,古川吉,大橋,466(+2),栗東,2021103593,01015,カリフォルニアクローム  California Chrome(米)  ,タマモエルドラド  ,ゴールドアリュール  ,0.9680985396207934,3
