,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,シェアホルダーズ,牡4,60.0,田村,松山,美浦,2021101250,01105,アルアイン  ,クラウンフォルテ  ,ハービンジャー  Harbinger(英)  
1,2,2,グローリーアテイン,セ4,60.0,金子,金成,美浦,2021104950,01052,ヴィクトワールピサ  ,アンナミルト  ,マンハッタンカフェ  
2,3,3,イルディヴィーノ,セ5,57.0,▲坂口,稲垣,美浦,2020103349,01211,キンシャサノキセキ  ,クローバーリーフ  ,タニノギムレット  
3,3,4,アドミラブルエース,牡6,60.0,大江圭,蛯名利,美浦,2019106113,01120,ワールドエース  ,メイケイペガムーン  ,アドマイヤムーン  
4,4,5,マグナレガリア,牡4,60.0,森一,相沢,美浦,2021106574,01139,レイデオロ  ,デライトポイント  ,トウカイテイオー  
5,4,6,ソルドラード,セ9,60.0,伴,蛯名正,美浦,2016104874,01149,ロードカナロア  ,ラドラーダ  ,シンボリクリスエス  
6,5,7,ガリレイ,セ8,60.0,高田,高橋亮,栗東,2017102809,01046,ヴィクトワールピサ  ,シシャモチャン  ,サクラバクシンオー  
7,5,8,ヴラディア,牡6,60.0,黒岩,小西,美浦,2019105578,01072,ラブリーデイ  ,ユメノトキメキ  ,マーベラスサンデー  
8,6,9,アスプリージャ,牡4,60.0,草野,中舘,美浦,2021100761,01113,レイデオロ  ,ポムフィリア  ,フォーティナイナーズサン  Fourty Niners Son(米)  
9,6,10,サニーオーシャン,セ7,57.0,▲土田,杉浦,美浦,2018103296,01198,ゼンノロブロイ  ,ヨドノグレイス  ,バゴ  Bago(仏)  
10,7,11,ホウオウエクレール,牡8,60.0,小牧加,宮,栗東,2017103293,01196,ブラックタイド  ,タマヒカル  ,パラダイスクリーク  Paradise Creek(米)  
11,7,12,アークデトリオンフ,牡6,60.0,石神深,和田郎,美浦,2019102793,01059,ルーラーシップ  ,ディアルーモ  ,ネオユニヴァース  
12,8,13,セイフウサツキ,牡3,58.0,難波,松永幹,栗東,2022101461,01066,サトノクラウン  ,モンローライン  ,ダンスインザダーク  
13,8,14,サウンドブライアン,牡7,60.0,小野寺,加藤公,栗東,2018103902,01123,クリーンエコロジー  ,ブライアンオークス  ,ブライアンズタイム  Brian's Time(米)  
