,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ボックスオフィス,牡4,57.0,川又,吉村,栗東,2021101691,1166,タリスマニック Talismanic(英) ,ベストピクチャー ,Dubawi ,0.881807709547729,2,0.06847018899552437,2,,
1,2,2,クリノクリスタル,牝5,56.0,高杉,大橋,栗東,2020107081,1213,ブラックタイド ,クリスタルキャノン ,クロフネ ,-0.9779053297891006,10,-0.574712160370588,10,,
2,3,3,ヒノデテイオー,牡6,58.0,団野,河内,栗東,2019103420,1180,マジェスティックウォリアー Majestic Warrior(米) ,キャニオンバレー ,シンボリクリスエス ,-1.0362190044072541,11,-0.5948799633852132,11,,
3,4,4,シュガーコルト,セ6,58.0,小崎,高橋忠,栗東,2019106364,1152,ヘニーヒューズ Henny Hughes(米) ,フェミニンガール ,Kingmambo (米) ,0.31440552594936744,5,-0.12776603764963296,5,,
4,4,5,ホルトバージ,牡4,57.0,西村淳,寺島,栗東,2021102905,1171,キンシャサノキセキ ,プレインズウーマン Plainswoman(亜) ,Zensational ,0.4024114285170176,3,-0.09732916810349522,3,,
5,5,6,テイエムシニスター,牡6,58.0,古川吉,木原,栗東,2019100083,1015,シニスターミニスター Sinister Minister(米) ,ケージーレインボー ,ダンスインザダーク ,3.2857709754031106,1,0.8998816532470542,1,,
6,5,7,ヒルノデプラーツ,牡6,58.0,秋山稔,北出,栗東,2019106573,1181,サトノアラジン ,アラピンタ Alapinta(英) ,Medicean ,-0.7093867551284331,9,-0.48184492545553104,9,,
7,6,8,メイショウマントル,牡7,58.0,国分優,安達,栗東,2018100858,1125,メイショウボーラー ,ピンクトルマリン ,Fusaichi Pegasus ,-0.24439349974596408,6,-0.32102685938285197,6,,
8,6,9,バンブーグローブ,牡5,58.0,菱田,斎藤誠,美浦,2020102120,1144,ホッコータルマエ ,ゴールドフォレスト ,ゴールドアリュール ,-4.494584915745827,13,-1.7909569197610329,13,,
9,7,10,フォーワンセルフ,牡6,58.0,荻野琢,小手川,美浦,2019102163,1112,パイロ Pyro(米) ,フォーミー ,アドマイヤマックス ,-0.6944590661016107,8,-0.4766821794319283,8,,
10,7,11,ラヴオントップ,牝4,55.0,高倉,西村,栗東,2021104399,1130,ヘニーヒューズ Henny Hughes(米) ,サトノフラリッシュ ,エンパイアメーカー Empire Maker(米) ,0.3834057029793311,4,-0.10390230435848208,4,,
11,8,12,ショーヘーフェイス,牡5,58.0,幸,荒川,栗東,2020106022,732,シルバーステート ,オメガカリビアン ,フレンチデピュティ French Deputy(米) ,-0.5314978428699721,7,-0.4203219882644366,7,,
12,8,13,ホークフィールド,牡4,57.0,坂井,武英,栗東,2021105004,1163,キズナ ,カンビーナ Cambina(愛) ,Hawk Wing ,-3.389055388821703,12,-1.4086091793407007,12,,
