,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,プラチナムレイアー,セ7,60.0,小牧加,河嶋,栗東,2018103503,01196,マツリダゴッホ ,スノークラフト ,アグネスデジタル 
1,2,2,ダノンジャッカル,牡6,60.0,西谷誠,中内田,栗東,2019103005,01005,ディープインパクト ,インディアナギャル Indiana Gal(愛) ,Intikhab 
2,3,3,ゲインサポート,牡4,59.0,森一,斉藤崇,栗東,2021104590,01139,デクラレーションオブウォー ,ローザミスティカ ,アグネスタキオン 
3,4,4,クリノリアルレディ,牝5,58.0,上野,伊藤伸,美浦,2020100347,01087,リアルインパクト ,セイクリッドフレイム Sacred Flame(米) ,Rahy 
4,5,5,スズカキング,牡8,60.0,小野寺,谷,栗東,2017105614,01123,キズナ ,リアリサトリス Realisatrice(仏) ,Numerous 
5,6,6,トモジャオッシュ,牡4,59.0,難波,大根田,栗東,2021102618,01066,ホッコータルマエ ,ミナスジェライス ,マンハッタンカフェ 
6,7,7,コスモチプリア,牝5,58.0,伴,松永康,美浦,2020105774,01149,ゴールドシップ ,ホワイトウインド ,スウェプトオーヴァーボード Swept Overboard(米) 
7,7,8,クラウンセト,牡6,60.0,草野,本間,美浦,2019101488,01113,ストロングリターン ,クラウンイヴ ,ブラックタイド 
8,8,9,ドゥラモンド,牡7,60.0,石神深,手塚,美浦,2018105078,01059,ドゥラメンテ ,シーズインクルーデッド She's Included(米) ,Include 
9,8,10,ディープレイヤー,牡6,60.0,中村,大和田,美浦,2019105844,01101,ディーマジェスティ ,クインズプレイヤー ,トウカイテイオー 
