,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ウラルト,牡3,55.0,△吉村,田中剛,美浦,2022106620,1216,リアルインパクト ,ヴィクトリアアイ ,ブライアンズタイム Brian's Time(米) ,-2.407886391539613,16,-1.0692715678659077,16,,
1,1,2,ベルエアフォース,牡3,57.0,幸,野中,栗東,2022102184,732,ヘニーヒューズ Henny Hughes(米) ,ハットシテグー ,エンパイアメーカー Empire Maker(米) ,-2.170789820741438,15,-0.9872716430350321,15,,
2,2,3,ベルジャッド,牝3,55.0,酒井,高柳大,栗東,2022101487,1034,ブリックスアンドモルタル Bricks and Mortar(米) ,デルマヒスイ ,エイシンフラッシュ ,-0.17447812230513984,11,-0.29684660373693605,11,,
3,2,4,デルマカリスト,牡3,57.0,菱田,音無,栗東,2022105455,1144,ニューイヤーズデイ ,パールズベスト ,キングズベスト King's Best(米) ,0.7370158275762345,2,0.01839387031316687,2,,
4,3,5,インディゴ,牡3,57.0,団野,野中,栗東,2022101062,1180,Tiz the Law (米) ,サムカインドオブブルー Some Kind of Blue(米) ,Union Rags ,-0.4028460706853855,12,-0.37582773171327344,12,,
5,3,6,ノイエムジーク,牡3,57.0,水口,須貝,栗東,2022105707,1133,ジャスタウェイ ,ターフェルムジーク ,ノヴェリスト Novellist(愛) ,0.023239036057770286,9,-0.22846606128980873,9,,
6,4,7,ゴールドプレミアム,牡3,56.0,☆泉谷,大橋,栗東,2022103447,1182,ゴールドドリーム ,ヤマイチシキブ ,ブライアンズタイム Brian's Time(米) ,-1.3675132475585159,14,-0.7094581833225652,14,,
7,4,8,トウシンバカラ,牡3,57.0,中井,高柳瑞,美浦,2022104327,1141,ドレフォン Drefong(米) ,ユキノマーメイド ,スペシャルウィーク ,-0.10955786007245293,10,-0.27439391028312576,10,,
8,5,9,ザセンチュリー,牡3,57.0,浜中,武英,栗東,2022103617,1115,シニスターミニスター Sinister Minister(米) ,シティウェルズ City Wells(加) ,City Zip (米) ,0.32545593229500663,7,-0.12394425108122081,7,,
9,5,10,ランツフート,牡3,57.0,Ｍデムーロ,大久保,栗東,2022105577,5212,ブリックスアンドモルタル Bricks and Mortar(米) ,レッドミラベル ,ステイゴールド ,0.4043722511822518,5,-0.09665101695767898,5,,
10,6,11,ヘルオブアライド,牡3,57.0,嶋田,小笠,美浦,2022102560,1134,アメリカンペイトリオット ,トゥルーライズ ,キズナ ,0.6339345646141805,3,-0.017256817446274973,3,,
11,6,12,キッズムリブシ,牡3,57.0,高倉,宮本,栗東,2022103646,1130,サトノクラウン ,バトルエニシ ,ネオユニヴァース ,0.1256043644734606,8,-0.1930629797221731,8,,
12,7,13,カズナリ,牡3,57.0,岩田康,中舘,美浦,2022104381,5203,ディーマジェスティ ,アラピンタ Alapinta(英) ,Medicean ,0.4535962550450816,4,-0.07962687948053825,4,,
13,7,14,スターコンパス,牡3,57.0,井上,根本,美浦,2022107262,1151,リアルスティール ,ローンリリー Lonelily(愛) ,Medaglia d'Oro ,0.3957723140572422,6,-0.09962530796250894,6,,
14,8,15,テイエムジェネラル,牡3,57.0,田中健,木原,栗東,2022101540,1114,フォーウィールドライブ Four Wheel Drive(米) ,センチュリーパーク ,General Meeting ,1.0235589561257101,1,0.11749490295468049,1,,
15,8,16,クインズメレンゲ,牝3,55.0,小崎,吉岡,栗東,2022103954,1152,ブラックタイド ,ターフデザイナー ,Unbridled's Song (米) ,-0.558747614237295,13,-0.4297463304059393,13,,
