,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ジーティージン,牡4,59.0,伴,石栗,美浦,2021100119,01149,ワールドエース ,シルバーコンパス ,タートルボウル Turtle Bowl(愛) 
1,2,2,オリエンタルナイト,牡4,59.0,森一,寺島,栗東,2021104751,01139,ハービンジャー Harbinger(英) ,オリエントワークス ,ワークフォース Workforce(英) 
2,3,3,サクセスバラード,牡5,60.0,上野,竹内,美浦,2020104898,01087,ダノンバラード ,ミスベルツリー ,アグネスデジタル 
3,4,4,サトノグレイト,セ5,60.0,黒岩,中竹,栗東,2020102971,01072,ダイワメジャー ,ノヴァホーク Nova Hawk(英) ,Hawk Wing 
4,4,5,セファーラジエル,牡7,60.0,中村,高柳大,栗東,2018105131,01101,キズナ ,ダークサファイア ,Out of Place 
5,5,6,ダスク,牡5,60.0,高田,石坂,栗東,2020106953,01046,シニスターミニスター Sinister Minister(米) ,フォルクスオーパー ,テイエムオペラオー 
6,5,7,コスモゴレアドール,牡6,57.0,▲土田,土田,美浦,2019100741,01198,ゴールドシップ ,グワダラハラ Guadalajara(独) ,Acatenango 
7,6,8,ドライグ,牡5,60.0,難波,大根田,栗東,2020101652,01066,ダノンレジェンド ,ラヴィーゲラン ,スペシャルウィーク 
8,6,9,アスプリージャ,牡4,59.0,草野,中舘,美浦,2021100761,01113,レイデオロ ,ポムフィリア ,フォーティナイナーズサン Fourty Niners Son(米) 
9,7,10,フォーディアライフ,牡4,59.0,石神深,矢嶋,美浦,2021104770,01059,ドレフォン Drefong(米) ,ディアマイダーリン ,ハーツクライ 
10,7,11,フォルガイル,牡4,57.0,▲水沼,加藤和,美浦,2021101164,01201,レイデオロ ,アディクション ,ハーツクライ 
11,8,12,ディープレイヤー,牡6,60.0,五十嵐,大和田,美浦,2019105844,01069,ディーマジェスティ ,クインズプレイヤー ,トウカイテイオー 
12,8,13,アイファーキャップ,牡4,59.0,小牧加,加藤公,栗東,2021107295,01196,アポロケンタッキー ,ピコット ,ハーツクライ 
