,式別,馬番,配当,人気
0,単勝,5,450,2
1,複勝,5,180,2
2,複勝,6,270,5
3,複勝,10,360,7
4,枠連,5-6,2320,10
5,馬連,5-6,2140,9
6,ワイド,5-6,640,7
7,ワイド,5-10,930,14
8,ワイド,6-10,1850,23
9,馬単,5→6,3870,18
10,3連複,5-6-10,8500,31
11,3連単,5→6→10,35040,138
