,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,クラウンセト,牡6,60.0,草野,本間,美浦,2019101488,01113,ストロングリターン ,クラウンイヴ ,ブラックタイド 
1,2,2,テイエムイダテン,牡8,60.0,小野寺,小椋,栗東,2017102603,01123,ロードカナロア ,ニシノビギン ,パラダイスクリーク Paradise Creek(米) 
2,3,3,メイショウカズサ,牡8,60.0,森一,安達,栗東,2017106642,01139,カジノドライヴ ,プレシャスエルフ ,コロナドズクエスト Coronado's Quest(米) 
3,4,4,マグナレガリア,牡4,57.0,▲土田,相沢,美浦,2021106574,01198,レイデオロ ,デライトポイント ,トウカイテイオー 
4,5,5,テイエムマジック,牡7,60.0,難波,木原,栗東,2018103005,01066,マジェスティックウォリアー Majestic Warrior(米) ,ハミングライフ ,スペシャルウィーク 
5,5,6,サンダーアラート,セ4,59.0,上野,田中博,美浦,2021101671,01087,サンダースノー  Thunder Snow(愛)  ,テイクウォーニング  ,ディープスカイ  
6,6,7,ウィズユアドリーム,牡5,60.0,高田,宮地,栗東,2020101918,01046,サトノダイヤモンド ,フラワーバレイ Flower Valley(米) ,ディスクリートキャット Discreet Cat(米) 
7,6,8,マルベリーシチー,牡5,60.0,小牧加,奥平,美浦,2020100684,01196,サトノアラジン ,ベルミュール ,キングカメハメハ 
8,7,9,コスモチプリア,牝5,58.0,大江圭,松永康,美浦,2020105774,01120,ゴールドシップ ,ホワイトウインド ,スウェプトオーヴァーボード Swept Overboard(米) 
9,7,10,シホノスペランツァ,牡6,60.0,中村,寺島,栗東,2019105654,01101,ブラックタイド ,メジロスプレンダー ,シンボリクリスエス 
10,8,11,ベストディシジョン,セ4,59.0,石神深,武井,美浦,2021105718,01059,ダイワメジャー ,ファイナルディシジョン Final Decision(米) ,Super Saver 
11,8,12,ナムラドーギー,牡4,59.0,伴,石栗,美浦,2021104267,01149,サトノアレス ,ナムラエメラルド ,ファンタスティックライト Fantastic Light(米) 
