,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,リードアクトレス,牝4,57.0,小野寺,安達,栗東,2021102654,01123,マジェスティックウォリアー Majestic Warrior(米) ,ブラウンテヌート ,シンボリクリスエス 
1,2,2,エンジェルラウンド,牝5,58.0,五十嵐,新開,美浦,2020103269,01069,ミッキーアイル ,エクレールアンジュ ,ゼンノロブロイ 
2,3,3,プリンセスララア,牝8,58.0,大江圭,的場,美浦,2017100655,01120,スピルバーグ ,ナックオフィス ,ジェネラス Generous(愛) 
3,4,4,タロントゥーズ,牡5,60.0,森一,大久保,栗東,2020102932,01139,ダイワメジャー ,ダイワダッチェス ,ワークフォース Workforce(英) 
4,5,5,フジフォンテ,セ6,60.0,石神深,粕谷,美浦,2019105759,01059,ロージズインメイ Roses in May(米) ,シチリアーナ ,メイショウオウドウ 
5,6,6,チュウワエース,牡6,57.0,▲土田,栗田,美浦,2019102395,01198,ワールドエース ,チュウワベイビー ,サウスヴィグラス 
6,6,7,ベッサラビア,セ8,60.0,田村,藤沢,栗東,2017106222,01105,ロードカナロア ,トーコーヴィオラ ,ディープインパクト 
7,7,8,フリーダムレイン,牡4,59.0,中村,高橋一,栗東,2021105792,01101,ミッキーアイル ,マンデラ Mandela(独) ,Acatenango 
8,7,9,マイネルメサイア,牡6,60.0,上野,水野,美浦,2019100788,01087,ゴールドシップ ,マイネソルシエール ,ロージズインメイ Roses in May(米) 
9,8,10,グラヴィテ,牝7,58.0,小牧加,鮫島,栗東,2018103603,01196,ネオユニヴァース ,ファシネイト ,キングカメハメハ 
10,8,11,エコロマーベリック,セ5,60.0,草野,岩戸,美浦,2020102902,01113,ハーツクライ ,スターシップトラッフルズ Starship Truffles(米) ,Ghostzapper 
