,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,アトラクティーボ,牡7,57.0,▲坂口,武藤,534(-2),美浦,2019100641,01211,ワンアンドオンリー,シャンパンルージュ,ファスリエフ
1,2,2,テイエムエメラルド,牝8,58.0,小野寺,小椋,462(-2),栗東,2018102822,01123,ロードカナロア,ヒミノダンス,ダンスインザダーク
2,3,3,ナックエルドラド,牡4,59.0,伴,小野,504(-8),美浦,2022106304,01149,マインドユアビスケッツ,エリンズハープ,ネオユニヴァース
3,4,4,フームスムート,牡9,60.0,上野,水野,534(-6),美浦,2017104238,01087,トゥザグローリー,ディアジーローズ,ワイルドラッシュ
4,5,5,アルマーザアミール,牡5,60.0,小牧加,斉藤崇,510(+4),栗東,2021105455,01196,サトノダイヤモンド,オーサムフェザー,Awesome of Course
5,6,6,ケイテンアイジン,牡4,59.0,小坂,谷,510(+2),栗東,2022109119,01063,アレスバローズ,カシノティーダ,ケイムホーム
6,6,7,ホークフィールド,牡5,61.0,高田,武英,492(0),栗東,2021105004,01046,キズナ,カンビーナ,Hawk Wing
7,7,8,ゴールドブリーズ,牡8,60.0,石神深,深山,512(+2),美浦,2018102196,01059,トゥザワールド,ゴールドジャパン,スターリングローズ
8,7,9,ワールドスケール,牡9,61.0,黒岩,加藤公,500(+6),栗東,2017106372,01072,ワールドエース,アモーレヴォレ,アグネスデジタル
9,8,10,ヴァレッタカズマ,牡7,58.0,▲井上,藤野,514(+2),栗東,2019105292,01151,ミッキーアイル,ティッカーコード,Giant's Causeway
10,8,11,マテンロウジョイ,牡6,61.0,森一,四位,478(+10),栗東,2020106836,01139,ハービンジャー,パッショナルダンス,サンデーサイレンス
