,race_type,course_len,ground_state,class,avg_frame,avg_horse,total_top3,frame_1_top3,frame_2_top3,frame_3_top3,frame_4_top3,frame_5_top3,frame_6_top3,frame_7_top3,frame_8_top3,horse_1_top3,horse_2_top3,horse_3_top3,horse_4_top3,horse_5_top3,horse_6_top3,horse_7_top3,horse_8_top3,horse_9_top3,horse_10_top3,horse_11_top3,horse_12_top3,horse_13_top3,horse_14_top3,horse_15_top3,horse_16_top3,horse_17_top3,horse_18_top3
45,芝,1400,全,新馬,3.78,5.5,18,4,2,5,0,1,3,2,1,2,2,2,2,2,1,2,1,2,0,1,1,0,0,0,0,0,0
46,芝,1400,良,新馬,3.33,4.87,15,4,2,4,0,1,3,1,0,2,2,1,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0
47,芝,1400,稍重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,芝,1400,重,新馬,6.0,8.67,3,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
49,芝,1400,不良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,芝,1400,全,1勝クラス,4.5,6.07,30,2,7,2,5,2,5,3,4,2,4,2,6,3,1,2,1,2,1,3,2,0,1,0,0,0,0
51,芝,1400,良,1勝クラス,4.67,7.06,18,1,4,2,2,1,3,2,3,1,1,2,3,2,1,0,0,1,1,3,2,0,1,0,0,0,0
52,芝,1400,稍重,1勝クラス,4.25,4.58,12,1,3,0,3,1,2,1,1,1,3,0,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0
53,芝,1400,重,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,芝,1400,不良,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,芝,1400,全,2勝クラス,5.1,6.1,30,3,2,2,2,8,3,6,4,2,3,2,1,7,1,4,2,4,2,1,0,1,0,0,0,0,0
56,芝,1400,良,2勝クラス,5.11,6.19,27,3,1,2,2,7,3,6,3,2,2,2,1,6,1,4,2,3,2,1,0,1,0,0,0,0,0
57,芝,1400,稍重,2勝クラス,5.0,5.33,3,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
58,芝,1400,重,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,芝,1400,不良,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,芝,1400,全,3勝クラス,4.27,6.67,15,1,2,2,4,1,3,2,0,0,3,1,2,0,2,1,0,1,2,1,2,0,0,0,0,0,0
61,芝,1400,良,3勝クラス,4.27,6.67,15,1,2,2,4,1,3,2,0,0,3,1,2,0,2,1,0,1,2,1,2,0,0,0,0,0,0
62,芝,1400,稍重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,芝,1400,重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,芝,1400,不良,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,芝,1400,全,オープン,4.14,6.57,21,2,5,1,3,4,3,2,1,1,3,2,3,2,2,1,2,0,1,1,0,0,1,1,0,0,1
66,芝,1400,良,オープン,4.14,6.57,21,2,5,1,3,4,3,2,1,1,3,2,3,2,2,1,2,0,1,1,0,0,1,1,0,0,1
67,芝,1400,稍重,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,芝,1400,重,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,芝,1400,不良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,芝,1600,全,all,4.33,6.24,189,29,27,20,24,21,24,22,22,23,21,19,15,12,15,16,15,11,8,8,9,7,5,1,3,1,0
71,芝,1600,良,all,4.38,6.26,144,21,20,15,20,16,17,18,17,17,16,14,12,9,9,12,14,10,6,6,7,5,5,0,2,0,0
72,芝,1600,稍重,all,4.17,6.24,42,7,7,5,3,5,7,4,4,5,5,5,2,3,6,4,1,1,2,2,1,2,0,1,1,1,0
73,芝,1600,重,all,4.33,5.67,3,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,芝,1600,不良,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,芝,1600,全,未勝利,4.09,5.95,57,11,9,6,8,3,7,7,6,8,7,6,5,6,5,4,2,2,0,3,2,3,2,0,1,1,0
76,芝,1600,良,未勝利,4.1,5.85,39,7,6,4,6,2,5,7,2,5,5,5,3,4,2,4,2,1,0,2,1,3,2,0,0,0,0
77,芝,1600,稍重,未勝利,4.0,6.27,15,3,3,2,1,1,2,0,3,2,2,1,1,2,3,0,0,1,0,1,0,0,0,0,1,1,0
78,芝,1600,重,未勝利,4.33,5.67,3,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,芝,1600,不良,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,芝,1600,全,新馬,4.78,7.26,27,3,4,2,2,5,3,3,5,3,1,1,4,2,1,1,2,4,2,2,2,0,0,1,1,0,0
81,芝,1600,良,新馬,4.75,6.92,24,3,3,2,2,5,2,2,5,3,1,1,3,2,1,1,2,4,2,1,2,0,0,0,1,0,0
82,芝,1600,稍重,新馬,5.0,10.0,3,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
83,芝,1600,重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,芝,1600,不良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,芝,1600,全,1勝クラス,4.93,6.7,30,2,3,3,6,3,5,2,6,2,3,2,2,1,4,4,3,4,0,2,2,0,0,0,1,0,0
86,芝,1600,良,1勝クラス,5.12,7.17,24,2,2,2,5,1,4,2,6,2,2,1,2,0,2,3,3,4,0,2,2,0,0,0,1,0,0
87,芝,1600,稍重,1勝クラス,4.17,4.83,6,0,1,1,1,2,1,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
88,芝,1600,重,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,芝,1600,不良,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,芝,1600,全,2勝クラス,4.67,5.33,24,3,2,3,2,4,5,2,3,3,2,3,2,3,1,4,4,0,1,0,0,1,0,0,0,0,0
91,芝,1600,良,2勝クラス,4.53,4.8,15,1,2,2,2,3,3,0,2,1,2,2,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0
92,芝,1600,稍重,2勝クラス,4.89,6.22,9,2,0,1,0,1,2,2,1,2,0,1,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0
93,芝,1600,重,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,芝,1600,不良,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,芝,1600,全,3勝クラス,4.25,5.42,12,2,3,1,0,1,1,3,1,2,3,1,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0
96,芝,1600,良,3勝クラス,5.0,6.56,9,1,2,0,0,1,1,3,1,1,2,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0
97,芝,1600,稍重,3勝クラス,2.0,2.0,3,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,芝,1600,重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,芝,1600,不良,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,芝,1600,全,オープン,3.72,6.44,39,8,6,5,6,5,3,5,1,5,5,6,2,0,4,1,2,1,5,0,3,2,3,0,0,0,0
101,芝,1600,良,オープン,3.64,6.18,33,7,5,5,5,4,2,4,1,5,4,5,2,0,4,0,2,1,4,0,2,1,3,0,0,0,0
102,芝,1600,稍重,オープン,4.17,7.83,6,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
103,芝,1600,重,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,芝,1600,不良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,芝,1800,全,all,4.5,5.8,153,22,16,20,20,13,24,18,20,20,15,16,16,13,11,17,10,9,5,7,6,2,2,3,1,0,0
106,芝,1800,良,all,4.51,5.83,123,18,11,18,16,11,19,12,18,16,11,14,13,10,8,12,9,9,5,6,4,2,1,2,1,0,0
107,芝,1800,稍重,all,4.47,5.67,30,4,5,2,4,2,5,6,2,4,4,2,3,3,3,5,1,0,0,1,2,0,1,1,0,0,0
108,芝,1800,重,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,芝,1800,不良,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,芝,1800,全,未勝利,4.18,6.25,51,6,7,10,5,6,10,3,4,6,4,7,4,5,3,2,4,4,3,4,2,0,1,1,1,0,0
111,芝,1800,良,未勝利,4.12,5.93,42,5,5,9,4,6,9,1,3,5,3,6,4,4,3,1,4,4,3,3,1,0,0,0,1,0,0
112,芝,1800,稍重,未勝利,4.44,7.78,9,1,2,1,1,0,1,2,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0
113,芝,1800,重,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
