,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,グランシャーク,セ6,60.0,五十嵐,田島,美浦,2019109053,01069,ダノンシャーク ,グランカナリア ,Malibu Moon 
1,2,2,アルカンサス,牡6,57.0,▲土田,土田,美浦,2019101023,01198,シルバーステート ,ラサンバ La Samba(豪) ,Orientate 
2,3,3,ソルドラード,セ9,60.0,上野,蛯名正,美浦,2016104874,01087,ロードカナロア ,ラドラーダ ,シンボリクリスエス 
3,4,4,ミラクルジニア,牡4,59.0,伴,粕谷,美浦,2021103301,01149,ダンカーク Dunkirk(米) ,キセキノハナ ,ネオユニヴァース 
4,5,5,スズカマジェスタ,牡6,60.0,高田,須貝,栗東,2019103824,01046,マジェスティックウォリアー Majestic Warrior(米) ,ウェルノーテッド ,ドリームジャーニー 
5,6,6,テンメジャーガール,牝6,58.0,小野寺,高柳大,栗東,2019104549,01123,ダイワメジャー ,サンヴァンサン ,クロフネ 
6,6,7,カルマンフィルター,牡4,59.0,草野,戸田,美浦,2021104842,01113,スワーヴリチャード ,カルマート ,シンボリクリスエス 
7,7,8,アンクラウデッド,牡7,60.0,石神深,古賀,美浦,2018104503,01059,ジャスタウェイ ,アオゾラペダル ,ホワイトマズル White Muzzle(英) 
8,7,9,グレイトゲイナー,牡8,60.0,森一,森秀,栗東,2017106137,01139,キンシャサノキセキ ,キャニオンリリー ,エルハーブ Erhaab(米) 
9,8,10,ゴーツウキリシマ,牝5,58.0,黒岩,牧田,栗東,2020109148,01072,ナムラタイタン ,エイシンドナウ ,グラスワンダー 
10,8,11,ウイングランブルー,牡5,60.0,大江圭,深山,美浦,2020105211,01120,ゴールドシップ ,サマーラグーン ,ボストンハーバー Boston Harbor(米) 
