,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ケンブリッジルプス,牡2,54.0,△長浜,萱野,488(0),美浦,2023101688,1214,ミッキーグローリー  2013 青鹿毛  [血統][産駒]  Halo系,アテナブルー  2007 栗毛  [血統][産駒]  FNo.[5-g],ジャングルポケット  1998 鹿毛  [血統][産駒],1.3973814471761927,2,0.13803886209798058,2,,
1,1,2,プラトニックガール,牝2,55.0,丸田,田村,490(0),美浦,2023105130,1117,イスラボニータ  2011 黒鹿毛  [血統][産駒]  Halo系,スイートウィスパー  2016 鹿毛  [血統][産駒]  FNo.[9],ルーラーシップ  2007 鹿毛  [血統][産駒],-0.3198037686448744,11,-0.2718836327359636,11,,
2,2,3,シュヴァルツシルト,牡2,56.0,坂井,田島,472(0),美浦,2023100359,1163,ミスチヴィアスアレックス  Mischevious Alex(米)  2017 鹿毛  [血統][産駒]  Storm Bird系,パワフルノンコ  2015 鹿毛  [血統][産駒]  FNo.[6-a],ワークフォース  Workforce(英)  2007 鹿毛  [血統][産駒],1.0168815523591943,3,0.0472068046528213,3,,
3,2,4,マジョリカ,牝2,55.0,菊沢,菊沢,440(0),美浦,2023102826,1161,リオンディーズ  2013 黒鹿毛  [血統][産駒]  Mr. Prospector系,プリンセスドルチェ  2003 鹿毛  [血統][産駒]  FNo.[7-f],アドマイヤベガ  1996 鹿毛  [血統][産駒],-0.5751330732596039,13,-0.33283525553562804,13,,
4,3,5,タイセイエキサイト,牡2,56.0,原,青木,524(0),美浦,2023103968,1184,アジアエクスプレス  2011 栗毛  [血統][産駒]  Storm Bird系,コウセイエリザベス  2014 鹿毛  [血統][産駒]  FNo.[1-t],アイルハヴアナザー  I'll Have Another(米)  2009 栗毛  [血統][産駒],2.366129113926477,1,0.36929607113990753,1,,
5,3,6,イヌボウノキラメキ,牝2,55.0,プーシャン,国枝,472(0),美浦,2023103090,5678,ドレフォン  Drefong(米)  2013 鹿毛  [血統][産駒]  Storm Bird系,ホクラニミサ  2011 黒鹿毛  [血統][産駒]  FNo.[4-n],ディープインパクト  2002 鹿毛  [血統][産駒],0.47142952990380355,5,-0.08300224431702084,5,,
6,4,7,イネガラーブル,牡2,56.0,吉田隼,久保田,480(0),美浦,2023103314,1095,ロードカナロア  2008 鹿毛  [血統][産駒]  Mr. Prospector系,アブソリュートレディ  Absolute Lady(愛)  2006 鹿毛  [血統][産駒]  FNo.[2-f],Galileo  (愛)  1998 鹿毛  [血統][産駒],-0.09641750852137615,6,-0.218557379855511,6,,
7,4,8,アンシュウマト,牡2,56.0,岩部,中川,452(0),美浦,2023101929,726,マクフィ  Makfi(英)  2007 鹿毛  [血統][産駒]  Mr. Prospector系,オクシペタルム  2008 黒鹿毛  [血統][産駒]  FNo.[2-n],シンボリクリスエス  1999 黒鹿毛  [血統][産駒],0.5896777978549813,4,-0.05477429047619856,4,,
8,5,9,ストラーダ,牝2,55.0,Ｃデムーロ,安田,490(0),栗東,2023100937,5473,ルヴァンスレーヴ  2015 鹿毛  [血統][産駒]  Roberto系,スイートジュエリー  2009 黒鹿毛  [血統][産駒]  FNo.[23],キングカメハメハ  2001 鹿毛  [血統][産駒],-0.17301673691067546,7,-0.23684297101620763,7,,
9,5,10,エジプシャンマウ,牝2,55.0,マーカンド,武井,476(0),美浦,2023107216,5626,American Pharoah  (米)  2012 鹿毛  [血統][産駒]  Mr. Prospector系,ヘヴンハズマイニッキー  2015 栗毛  [血統][産駒]  FNo.[52],マジェスティックウォリアー  Majestic Warrior(米)  2005 鹿毛  [血統][産駒],-0.22188942521725794,10,-0.24850974646669205,10,,
