,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202609040612,1,2,3,タイニーワンダー,牝3,53.0,☆田山,0:1:24.2,,1,1.6,36.7,,栗東 四位,420(-2),ダート,1400,良,１勝クラス
202609040612,2,3,5,ワイズギャング,牝3,54.0,古川吉,0:1:24.6,2.1/2,6,21.3,37.5,,栗東 河嶋,462(+8),ダート,1400,良,１勝クラス
202609040612,3,1,1,ダンシングドール,牝3,54.0,松若,0:1:24.9,2,3,8.3,37.2,,栗東 牧田,468(+4),ダート,1400,良,１勝クラス
202609040612,4,2,2,イーブンベター,牝4,56.0,国分恭,0:1:25.1,1,7,28.2,37.4,,栗東 牧浦,444(+10),ダート,1400,良,１勝クラス
202609040612,5,4,7,ハッピーラブソング,牝3,54.0,菱田,0:1:25.2,1/2,11,53.4,36.8,,栗東 牧浦,456(-4),ダート,1400,良,１勝クラス
202609040612,6,6,11,ベルメサイア,牝5,56.0,鮫島駿,0:1:25.4,1.1/2,9,46.7,36.8,,栗東 西村,512(-2),ダート,1400,良,１勝クラス
202609040612,7,8,14,ペンテリコン,牝4,56.0,浜中,0:1:25.5,3/4,8,29.8,37.8,,栗東 武幸,494(+10),ダート,1400,良,１勝クラス
202609040612,8,5,9,レイム,牝5,56.0,酒井,0:1:25.5,アタマ,12,60.2,37.5,,栗東 高橋康,452(+4),ダート,1400,良,１勝クラス
202609040612,9,8,15,グディンナ,牝5,56.0,松山,0:1:25.7,1.1/4,5,14.6,37.8,,栗東 牧田,430(+10),ダート,1400,良,１勝クラス
202609040612,10,6,10,ルクスコスモス,牝4,56.0,岩田望,0:1:25.8,1/2,2,7.2,38.6,,栗東 高橋一,462(+8),ダート,1400,良,１勝クラス
202609040612,11,5,8,ジョアン,牝3,54.0,吉村,0:1:25.9,1/2,4,10.8,38.6,,栗東 中村,462(+8),ダート,1400,良,１勝クラス
202609040612,12,7,13,ブルームザスマイル,牝3,52.0,◇今村,0:1:26.5,3.1/2,10,48.6,39.0,,栗東 鈴木孝,426(-5),ダート,1400,良,１勝クラス
202609040612,13,7,12,フェミナンジェンヌ,牝3,50.0,★河原田,0:1:26.6,クビ,14,165.2,38.5,,栗東 高橋一,460(+8),ダート,1400,良,１勝クラス
202609040612,14,4,6,ニーナバイリッカ,牝4,54.0,◇永島,0:1:26.7,1/2,15,186.8,38.6,,栗東 松下,430(0),ダート,1400,良,１勝クラス
202609040612,15,3,4,シャンデヴィーニュ,牝3,51.0,▲和田陽,0:1:27.9,7,13,96.0,40.5,,栗東 柴田,450(+4),ダート,1400,良,１勝クラス
