,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202609040509,1,5,8,ナムラハリス,牝3,53.0,浜中,0:1:53.8,,5,11.9,36.9,,栗東 宮地,422(-8),ダート,1800,良,１勝クラス
202609040509,2,3,3,リーチグローリー,牝3,53.0,松山,0:1:53.8,ハナ,2,4.9,37.2,,栗東 浜田,490(0),ダート,1800,良,１勝クラス
202609040509,3,4,5,ドリームキャリー,牝3,52.0,☆田山,0:1:54.2,2,3,5.5,37.9,,栗東 新谷,450(+5),ダート,1800,良,１勝クラス
202609040509,4,8,14,シュネルアンジュ,牝3,53.0,武豊,0:1:54.4,1,1,2.2,37.8,,栗東 寺島,490(-6),ダート,1800,良,１勝クラス
202609040509,5,7,12,リアンクトワ,牝5,54.0,△柴田裕,0:1:54.4,ハナ,11,52.8,37.3,,栗東 辻野,452(0),ダート,1800,良,１勝クラス
202609040509,6,5,7,フィデリス,牝3,53.0,亀田,0:1:54.8,2.1/2,12,83.0,38.4,,栗東 坂口,478(-1),ダート,1800,良,１勝クラス
202609040509,7,3,4,ミティリーニ,牝3,53.0,西村淳,0:1:55.0,3/4,4,11.4,38.1,,栗東 高野,452(0),ダート,1800,良,１勝クラス
202609040509,8,2,2,レザーアンドレース,牝3,53.0,松若,0:1:55.3,2,7,24.0,37.8,,栗東 平田,472(+16),ダート,1800,良,１勝クラス
202609040509,9,8,13,ラグナトーレ,牝4,56.0,中井,0:1:55.4,3/4,8,24.6,38.3,,栗東 角田,458(+2),ダート,1800,良,１勝クラス
202609040509,10,1,1,シゲルオトヒメ,牝7,56.0,酒井,0:1:55.9,2.1/2,14,101.0,38.2,,栗東 谷,446(0),ダート,1800,良,１勝クラス
202609040509,11,6,9,ガイラルディア,牝4,56.0,古川吉,0:1:55.9,クビ,9,41.6,38.7,,栗東 藤野,458(+2),ダート,1800,良,１勝クラス
202609040509,12,6,10,メイショウアカリ,牝3,53.0,太宰,0:1:56.0,クビ,6,13.4,38.9,,栗東 松下,516(+2),ダート,1800,良,１勝クラス
202609040509,13,7,11,メイショウウメゴチ,牝4,56.0,秋山稔,0:1:56.2,1.1/2,10,47.1,39.6,,栗東 高橋忠,414(-10),ダート,1800,良,１勝クラス
202609040509,14,4,6,レザンクレール,牝5,56.0,小沢,0:1:57.2,6,13,85.7,40.4,,栗東 西村,434(+2),ダート,1800,良,１勝クラス
