,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202609040507,1,2,2,アロマフェリス,牝4,56.0,川田,0:2:26.8,,2,4.5,33.7,,栗東 辻野,412(-4),芝,2400,良,１勝クラス
202609040507,2,4,4,ベルシュヴァル,牝3,53.0,松山,0:2:26.9,3/4,5,10.5,34.1,,栗東 中村,418(+2),芝,2400,良,１勝クラス
202609040507,3,5,5,ラッキーシグネチャ,牝3,51.0,◇古川奈,0:2:26.9,ハナ,12,78.6,33.9,,栗東 矢作,428(-14),芝,2400,良,１勝クラス
202609040507,4,5,6,フィエールシャンテ,牝3,53.0,Ｍデム,0:2:27.0,クビ,10,18.7,33.6,,栗東 小椋,442(-2),芝,2400,良,１勝クラス
202609040507,5,6,7,ストレートブラック,牝4,56.0,松若,0:2:27.1,1/2,7,14.4,33.7,,美浦 奥平,434(-8),芝,2400,良,１勝クラス
202609040507,6,7,9,ゴールドアクセス,牡3,55.0,武豊,0:2:27.2,3/4,3,5.7,33.5,,栗東 寺島,438(+6),芝,2400,良,１勝クラス
202609040507,7,3,3,パンチャマハブータ,牝3,53.0,池添,0:2:27.2,アタマ,6,11.1,33.2,,栗東 吉田,414(+4),芝,2400,良,１勝クラス
202609040507,8,7,10,ロングホリデー,牡3,55.0,斎藤,0:2:27.2,ハナ,9,18.1,33.1,,栗東 茶木,472(+6),芝,2400,良,１勝クラス
202609040507,9,6,8,タガノアルトゥーラ,牡3,55.0,吉村,0:2:27.3,1/2,4,6.5,34.1,,栗東 長谷川,488(+4),芝,2400,良,１勝クラス
202609040507,10,8,12,ディアーモルタル,牝3,52.0,☆田山,0:2:27.5,1.1/4,11,60.2,33.3,,栗東 宮本,420(-2),芝,2400,良,１勝クラス
202609040507,11,1,1,ボンドマティーニ,牡3,55.0,北村友,0:2:28.0,3,1,3.9,34.3,,栗東 安田,480(+12),芝,2400,良,１勝クラス
202609040507,12,8,11,サトノビダーヤ,牡3,55.0,幸,0:2:28.1,1/2,8,17.3,33.8,,栗東 高橋康,460(0),芝,2400,良,１勝クラス
