,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202609040805,1,6,10,ネーロノワール,牝2,55.0,川田,0:2:03.3,,1.0,1.7,34.9,,栗東 斉藤崇,504(0),芝,2000,良,新馬
202609040805,2,5,8,トップオブドリーム,牡2,53.0,◇今村,0:2:03.7,2.1/2,4.0,13.2,35.1,,栗東 寺島,512(0),芝,2000,良,新馬
202609040805,3,3,5,ベニールラヴニール,牝2,55.0,吉村,0:2:03.7,アタマ,3.0,7.7,35.6,,栗東 清水久,466(0),芝,2000,良,新馬
202609040805,4,7,12,エールヴォル,牡2,55.0,松若,0:2:04.1,2.1/2,5.0,13.3,35.4,,栗東 橋口,450(0),芝,2000,良,新馬
202609040805,5,5,9,メイショウリベロ,牡2,52.0,▲森田,0:2:04.8,4,14.0,239.3,36.2,,栗東 安達,458(0),芝,2000,良,新馬
202609040805,6,6,11,サトノステラ,牡2,55.0,岩田望,0:2:04.8,アタマ,6.0,13.4,36.6,,栗東 友道,482(0),芝,2000,良,新馬
202609040805,7,1,1,ノーブルキングダム,牡2,55.0,国分恭,0:2:04.9,1/2,8.0,27.8,36.5,,栗東 宮本,506(0),芝,2000,良,新馬
202609040805,8,8,15,ケイアイヴェネチア,牡2,54.0,☆田山,0:2:05.0,1/2,9.0,45.6,36.1,,栗東 新谷,496(0),芝,2000,良,新馬
202609040805,9,2,2,レガリアフォリア,牡2,55.0,北村友,0:2:05.1,3/4,2.0,5.7,36.7,,栗東 四位,458(0),芝,2000,良,新馬
202609040805,10,3,4,プラトーローザ,牝2,55.0,小沢,0:2:05.3,1.1/2,13.0,200.5,36.6,,栗東 羽月,478(0),芝,2000,良,新馬
202609040805,11,7,13,スナークルーベンス,牡2,55.0,富田,0:2:05.4,1/2,12.0,180.6,36.4,,栗東 野中,498(0),芝,2000,良,新馬
202609040805,12,2,3,ゴールデンステーラ,牡2,55.0,石橋脩,0:2:05.6,1,11.0,128.7,36.6,,栗東 本田,510(0),芝,2000,良,新馬
202609040805,13,8,14,レイルジェット,牡2,55.0,斎藤,0:2:05.7,1/2,10.0,84.4,36.7,,栗東 藤野,450(0),芝,2000,良,新馬
202609040805,14,4,6,カーティス,牡2,55.0,松山,0:2:06.9,7,7.0,19.2,38.7,,栗東 杉山晴,518(0),芝,2000,良,新馬
202609040805,除外,4,7,シルクウォード,牡2,55.0,西村淳,,,,,,,栗東 庄野,472(0),芝,2000,良,新馬
