,0,1,2,3
202008010101,単勝,4,130,1
202008010101,複勝,4,110,1
202008010101,複勝,8,140,2
202008010101,複勝,11,1120,14
202008010101,枠連,2-4,250,1
202008010101,馬連,4-8,330,1
202008010101,ワイド,4-8,170,1
202008010101,ワイド,4-11,1950,20
202008010101,ワイド,8-11,4850,42
202008010101,馬単,4→8,390,1
202008010101,三連複,4-8-11,8000,24
202008010101,三連単,4→8→11,20770,57
202008010102,単勝,6,350,2
202008010102,複勝,6,140,1
202008010102,複勝,11,330,5
202008010102,複勝,7,710,9
202008010102,枠連,3-6,670,2
202008010102,馬連,6-11,1830,6
202008010102,ワイド,6-11,690,5
202008010102,ワイド,6-7,1490,17
202008010102,ワイド,7-11,3580,34
202008010102,馬単,6→11,3190,9
202008010102,三連複,6-7-11,12390,37
202008010102,三連単,6→11→7,52130,157
202008010103,単勝,13,490,4
202008010103,複勝,13,150,4
202008010103,複勝,10,150,2
202008010103,複勝,8,140,1
202008010103,枠連,5-7,1110,6
202008010103,馬連,10-13,1310,6
202008010103,ワイド,10-13,520,6
202008010103,ワイド,8-13,430,4
202008010103,ワイド,8-10,350,1
202008010103,馬単,13→10,2910,12
202008010103,三連複,8-10-13,1570,3
202008010103,三連単,13→10→8,9750,22
202008010104,単勝,6,780,4
202008010104,複勝,6,210,4
202008010104,複勝,8,190,3
202008010104,複勝,7,220,5
202008010104,枠連,5-6,690,4
202008010104,馬連,6-8,1780,8
202008010104,ワイド,6-8,620,9
202008010104,ワイド,6-7,800,13
202008010104,ワイド,7-8,670,10
202008010104,馬単,6→8,4030,20
202008010104,三連複,6-7-8,3710,18
202008010104,三連単,6→8→7,21680,96
202008010105,単勝,5,790,4
202008010105,複勝,5,290,5
202008010105,複勝,1,310,6
202008010105,複勝,10,1370,11
202008010105,枠連,1-3,3800,14
202008010105,馬連,1-5,4220,19
202008010105,ワイド,1-5,1370,18
202008010105,ワイド,5-10,5870,51
202008010105,ワイド,1-10,5420,50
202008010105,馬単,5→1,7680,34
202008010105,三連複,1-5-10,66450,148
202008010105,三連単,5→1→10,255360,634
202008010106,単勝,5,430,2
202008010106,複勝,5,140,2
202008010106,複勝,3,970,10
202008010106,枠連,2-3,250,1
202008010106,馬連,3-5,18260,29
202008010106,ワイド,3-5,2960,28
202008010106,ワイド,4-5,190,1
202008010106,ワイド,3-4,1900,19
202008010106,馬単,5→3,30490,50
202008010106,三連複,3-4-5,5300,16
202008010106,三連単,5→3→4,69620,154
202008010107,単勝,7,1820,9
202008010107,複勝,7,520,8
202008010107,複勝,12,240,3
202008010107,複勝,14,370,7
202008010107,枠連,4-6,5300,18
202008010107,馬連,7-12,4670,20
202008010107,ワイド,7-12,1530,21
202008010107,ワイド,7-14,2480,37
202008010107,ワイド,12-14,1470,20
202008010107,馬単,7→12,11360,49
202008010107,三連複,7-12-14,20010,78
202008010107,三連単,7→12→14,128590,463
202008010108,単勝,6,390,2
202008010108,複勝,6,120,2
