,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,トーアマリシテン,セ5,60.0,森一,小島,454(+4),13.7,4,美浦,2021105335,01139,ビーチパトロール,トーアヒミコ,クロフネ
1,2,2,ゴールドブリーズ,牡8,57.0,▲水沼,深山,510(0),16.7,6,美浦,2018102196,01201,トゥザワールド,ゴールドジャパン,スターリングローズ
2,3,3,クラウンセト,牡7,60.0,草野,本間,448(+4),5.8,2,美浦,2019101488,01113,ストロングリターン,クラウンイヴ,ブラックタイド
3,4,4,ベイビーベリッシモ,牡4,60.0,五十嵐,大和田,506(+12),18.8,7,美浦,2022102728,01069,ロゴタイプ,カルテブランシェ,ゴールドアリュール
4,5,5,テクネチウム,セ5,57.0,▲井上,前川,488(+4),51.5,10,栗東,2021104280,01151,マクフィ,プリンセス,キングズベスト
5,6,6,ポワンキュルミナン,牡6,60.0,小牧加,岡田,426(-6),7.4,3,栗東,2020102955,01196,ロゴタイプ,ディオベルタ,フジキセキ
6,7,7,サトノエピック,牡5,60.0,上野,奥村武,532(-4),1.6,1,美浦,2021105271,01087,キタサンブラック,ランドオーバーシー,Bellamy Road
7,7,8,ニシノルアノーヴァ,牡4,60.0,伴,古賀慎,490(0),16.6,5,美浦,2022102709,01149,リオンディーズ,ニシノリコルディ,ハーツクライ
8,8,9,ゲインサポート,セ5,60.0,中村,秋山,446(0),37.9,9,栗東,2021104590,01101,デクラレーションオブウォー,ローザミスティカ,アグネスタキオン
9,8,10,ヒットアンドロール,牡5,60.0,大江圭,田中勝,464(+6),37.1,8,美浦,2021104974,01120,ブリックスアンドモルタル,エオリアンハープ,キングカメハメハ
