,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,ウイングサンライズ,牝3,55.0,丸山,矢作,402(-6),26.1,8,栗東,2023100918,01127,コントレイル,コンクエストハーラネイト,Harlan's Holiday,-0.5156576061388254,13,-0.7076964856968581,16,0.06529920920511506,7,-0.9689243193449949,13,0.04259574288209723,0.030469121925277173
1,1,2,ティグリス,牝3,55.0,幸,杉山晴,448(-2),14.3,7,栗東,2023104994,00732,エピファネイア,アタブ,New Approach,0.3516457984837963,5,0.27408809111338167,2,-0.0861533741621558,12,-0.32075357541603133,4,0.0814447649546313,0.05561147428319819
2,2,3,マスティカーレ,牝3,55.0,田口,西園翔,456(+2),12.4,5,栗東,2023103629,01208,ダノンスマッシュ,コマノスクアーロ,ゼンノロブロイ,-0.21289281915568253,9,-0.5757568886344827,14,-0.43360607199870205,16,-1.2779917325697119,15,0.031270867167965885,0.06413258727820437
3,2,4,バルフルール,牝3,55.0,角田和,長谷川,490(+2),41.2,12,栗東,2023106909,01186,Saxon Warrior,ヴォーセル,Le Havre,-0.01222868877992849,7,-0.32956515439451195,9,0.2232122845305803,2,-0.21084368377222942,2,0.09090681323995313,0.01930204083130423
4,3,5,ルナフィオーレ,牝3,55.0,川田,庄野,472(-2),6.7,4,栗東,2023104520,01088,シルバーステート,マレキアーレ,Pioneerof the Nile,0.5916445187620543,4,-0.06110153254590198,3,-0.29869514380188933,15,-1.1351983790465239,14,0.03607067672714766,0.11869314660443793
5,3,6,ペスキエーラ,牝3,55.0,団野,須貝,456(-12),69.5,15,栗東,2023107311,01180,ロードカナロア,リナーテ,ステイゴールド,-0.9811654766048234,16,-0.7996036640840426,18,-0.25329438093446754,13,-1.414656589036131,16,0.027276405094897267,0.01144236089567963
6,4,7,エコロディアン,牝3,55.0,Ｍデムーロ,牧浦,450(+4),5.0,2,栗東,2023107273,05212,シスキン,メッシーナ,ディープインパクト,1.2358019733352257,3,-0.07054934770829746,4,0.0370139404641239,8,-0.9538611126859938,12,0.04324222820702534,0.15904881644994687
7,4,8,ルージュマデイラ,牝3,55.0,富田,上村,434(-16),69.1,14,栗東,2023102228,01168,モーリス,ダーヌビウス,キングカメハメハ,-1.1202819351644402,17,-0.7793328581701684,17,-0.4501253409672834,17,-1.8906539650138487,18,0.016945878878753706,0.011508597427637254
8,5,9,ルージュシャラポワ,牝3,52.0,▲川端,小林,442(+2),302.0,18,栗東,2023103442,01195,ナダル,ジョンブリアン,ステイゴールド,-1.1956660981372178,18,-0.5069508137758958,13,-0.010226605915850432,11,-1.7120684437034055,17,0.020259223910135456,0.0026332585504958085
9,5,10,ココロザスノ,牝3,55.0,酒井,千田,470(-2),38.8,11,栗東,2023102952,01034,アルアイン,ミリアグラシア,Flashy Bull,-0.27253596117147183,10,-0.47416286026094134,12,0.1273044179967016,5,-0.46496829888255664,5,0.07050688300992576,0.02049598150128181
10,6,11,フェブリノ,牝3,55.0,松若,加藤公,402(0),26.8,9,栗東,2023104075,01154,マクフィ,フェブノヘア,ヨハネスブルグ,-0.37485270939111354,11,-0.28932520086924557,8,0.07471008055338353,6,-0.7357687253379275,9,0.05378044417639189,0.029673286651109482
11,6,12,グレンセロース,牝3,55.0,吉村,池添,438(+2),5.4,3,栗東,2023103794,01216,オルフェーヴル,ソルヴェイグ,ダイワメジャー,1.4403298635315556,2,-0.3792724303016436,10,-0.2601338067526082,14,-0.4705547552350933,6,0.07011409754638112,0.14726742263883966
12,7,13,タガノプトゥリ,牝3,55.0,藤懸,鈴木孝,430(+2),245.3,16,栗東,2023104321,01138,ヘンリーバローズ,タガノグリュック,タガノロックオン,-0.027274994712477126,8,-0.6454884868388832,15,-0.00544959543828063,10,-0.05859155746474194,1,0.10585678311030977,0.0032419245097828546
13,7,14,ミヤジマミコ,牝3,53.0,◇永島,今野,432(-3),286.2,17,栗東,2023106010,01187,クリソベリル,ミヤジマミー,ヴィクトワールピサ,-0.7932453701664531,15,-0.1395476902218878,6,0.13058674474637452,4,-0.812558124598536,10,0.0498052555045861,0.002778630615827164
14,7,15,ゴッドアイ,牝3,55.0,コレット,橋口,434(+14),3.5,1,栗東,2023105352,05691,コントレイル,ジェルミナーレ,アドマイヤムーン,2.7577837537515206,1,-0.13428166243752657,5,-0.6739670156347164,18,-0.25048889095496313,3,0.08737330002867523,0.2272125949284955
15,8,16,ハッピーリオン,牝3,55.0,太宰,武英,472(+2),31.7,10,栗東,2023101899,01037,リオンリオン,ラファイエ,Elusive Quality,-0.5582071141321852,14,0.31701925421809085,1,0.37795386652379226,1,-0.9176022754801285,11,0.044838913163204756,0.025086564108824424
16,8,17,グッデイ,牝3,55.0,秋山稔,河嶋,432(-10),68.5,13,栗東,2023106988,01181,フィエールマン,グランワルツ,ロードカナロア,-0.43503149807314406,12,-0.2639412470929613,7,0.17460305678779958,3,-0.509971050285904,7,0.06740421715294617,0.01160940266058006
17,8,18,スターアスコット,牝3,53.0,△柴田裕,奥村豊,448(-4),13.3,6,栗東,2023100130,01212,モズアスコット,ハーバーコメット,オルフェーヴル,0.12183436376360715,6,-0.3960704166244099,11,0.02973599784432047,9,-0.6212220742028602,8,0.06030750524497231,0.059792788139077756
