,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ネビーイーム,牡7,63.0,小牧加,佐々木,,栗東,2018103677,01196,キズナ,ヴェルヴェットクイーン,シングスピール
1,2,2,タマモエース,牡6,63.0,小野寺,宮地,,栗東,2019104010,01123,ワールドエース,ミサトサウス,サウスヴィグラス
2,3,3,ピーターサイト,牡5,63.0,森一,村田,,美浦,2020105611,01139,ワンアンドオンリー,ヴィクトリアアイ,ブライアンズタイム
3,4,4,エコロデュエル,牡6,63.0,草野,岩戸,,美浦,2019101614,01113,キタサンブラック,クラリネット,Giant's Causeway
4,5,5,タンジェントアーク,セ7,63.0,五十嵐,田村,,美浦,2018100752,01069,エイシンフラッシュ,サトノサンシャイン,ステイゴールド
5,6,6,ジューンベロシティ,牡7,63.0,高田,武英,,栗東,2018103308,01046,ロードカナロア,アドマイヤサブリナ,シンボリクリスエス
6,7,7,フェーレンベルク,牡5,63.0,上野,千葉,,美浦,2020103875,01087,エイシンフラッシュ,エクラミレネール,マツリダゴッホ
7,7,8,アルデドゥオーモ,牡4,63.0,伴,矢野,,美浦,2021100361,01149,オルフェーヴル,アルフィルク,アグネスタキオン
8,8,9,プラチナドリーム,牡6,63.0,石神深,菊川,,美浦,2019106330,01059,ホッコータルマエ,サティーヌアロム,シンボリクリスエス
9,8,10,メイショウアツイタ,牡7,63.0,難波,高橋忠,,栗東,2018105731,01066,フェノーメノ,ロジカルクィーン,Deputy Minister
