,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ブルボンクイーン,牝5,53.0,角田和,角田,498(+8),栗東,2021100297,1186,キズナ,セレブラール,ボストンハーバー,-0.6983978867127988,8,-0.0128479145404412,7,,6,48.2,47.3,46.7,7
1,2,2,ウォーターハウス,セ6,52.0,河原田,井上,478(+4),栗東,2020102664,1204,ロードカナロア,ショウナンパンドラ,ディープインパクト,1.006053203966381,1,0.007946017393028,11,,11,41.0,44.6,40.4,11
2,3,3,キントラダンサー,牝4,52.0,藤懸,長谷川,468(-2),栗東,2022104387,1138,キタサンブラック,キントラ,Kingman,-2.284576146872469,11,-0.0321989437113433,3,,4,51.3,48.3,49.8,4
3,4,4,フードマン,牡4,57.0,松山,小栗,482(0),栗東,2022110056,1126,Kingman,Midnight Crossing,Dark Angel,0.3154438844204755,4,-0.0004792658326319,4,,10,50.5,45.1,48.6,6
4,5,5,サンライズプルート,牡6,53.0,高倉,東田,482(0),栗東,2020102326,1130,リオンディーズ,テーオーヴィーナス,ディープインパクト,0.5623825541115177,3,0.0025333321335853,8,,8,44.5,45.8,43.5,9
5,6,6,ハピアーザンエバー,牡5,53.0,森田,羽月,466(+12),栗東,2021106854,1222,リオンディーズ,エバープリンセス,ハービンジャー,0.2273450668118209,6,-0.0015540522121246,10,,9,42.2,45.2,41.2,10
6,6,7,チムグクル,牡4,56.0,武豊,福永,450(-2),栗東,2022102395,666,ラブリーデイ,エンドレスノット,ディープインパクト,-1.639259488354342,10,-0.024326221081671,2,,3,53.1,49.2,50.8,3
7,7,8,サダメ,牝5,53.0,幸,畑端,458(-4),栗東,2021103862,732,ディスクリートキャット,サテラノサト,ディープブリランテ,0.3154438844204755,4,-0.0004792658326319,5,,7,50.0,47.0,48.6,5
8,7,9,リリーブライト,牡8,54.0,荻野琢,西田,472(-8),美浦,2018104841,1112,ハーツクライ,リリーアメリカ,American Post,0.2273450668118209,6,-0.0015540522121246,9,,1,43.0,79.7,76.2,1
9,8,10,アジュマン,牡4,54.0,菱田,石坂,476(-2),栗東,2022101241,1144,アルアイン,ジレーネ,キングカメハメハ,-1.5565710756159783,9,-0.0233174404627545,6,,5,48.5,48.1,45.8,8
10,8,11,ヨウシタンレイ,牝6,55.0,岩田望,藤野,474(+6),栗東,2020103969,1174,サトノアラジン,フレイムミーティア,ファンタスティックライト,0.7086472977482581,2,0.0043177301371894,1,,2,77.6,49.6,58.3,2
