,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202605030110,1,3,6,ロジケープ,牡3,54.0,丹内,0:1:20.1,,3,11.2,33.5,,美浦 尾形,500(+10)
202605030110,2,2,4,クレパスキュラー,牡3,55.0,ルメー,0:1:20.1,ハナ,1,1.6,33.3,,美浦 栗田,486(0)
202605030110,3,1,2,ユキノエミリオ,牡4,53.0,木幡初,0:1:20.3,1.1/4,16,220.6,33.9,,美浦 竹内,452(+8)
202605030110,4,1,1,サンタアニタ,牝4,53.0,斎藤,0:1:20.3,クビ,8,29.8,33.9,,美浦 斎藤誠,482(+2)
202605030110,5,8,16,イゾラフェリーチェ,牝5,54.0,荻野極,0:1:20.4,クビ,7,23.5,34.2,,美浦 鹿戸,506(+8)
202605030110,6,4,8,レイユール,牝4,51.0,嶋田,0:1:20.4,ハナ,14,167.9,33.7,,美浦 手塚久,424(+8)
202605030110,7,5,9,ツーネサーン,牡5,57.0,横山武,0:1:20.4,ハナ,4,11.6,33.6,,栗東 矢作,508(-2)
202605030110,8,8,15,スターウェーブ,セ4,56.0,三浦,0:1:20.4,ハナ,6,16.5,33.3,,美浦 武井,504(+8)
202605030110,9,7,13,ジョヴィアン,牡6,56.0,北村宏,0:1:20.5,1/2,15,195.6,33.1,,栗東 井上,500(-10)
202605030110,10,5,10,ウインイザナミ,牝4,53.0,佐々木,0:1:20.6,クビ,5,14.3,33.6,,美浦 上原博,516(+6)
202605030110,11,8,17,メイケイバートン,牡7,56.0,戸崎圭,0:1:20.6,クビ,9,39.2,33.3,,栗東 中竹,474(-2)
202605030110,12,6,11,ファムマルキーズ,牝3,52.0,小崎,0:1:20.8,1.1/4,2,5.6,34.2,,栗東 大久保,446(-2)
202605030110,13,2,3,クレオズニードル,牝4,52.0,吉田豊,0:1:20.8,アタマ,13,142.6,34.8,,美浦 和田勇,480(+22)
202605030110,14,4,7,タイキエクセロン,牡7,54.0,菊沢,0:1:20.9,1/2,17,238.9,33.7,,栗東 橋田,510(-2)
202605030110,15,7,14,トラスコンガーデン,牝3,51.0,江田照,0:1:21.0,1,10,51.7,33.3,,美浦 竹内,440(-2)
202605030110,16,6,12,ゴールドスター,牡5,56.0,横山和,0:1:21.3,1.1/2,11,58.6,33.2,,美浦 奥村武,466(-2)
202605030110,17,3,5,ラスティングスノー,牝3,52.0,横山琉,0:1:21.4,1/2,12,76.0,35.3,,美浦 池上,478(+4)
