,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,スズカキング,牡8,60.0,小野寺,谷,栗東,2017105614,01123,キズナ ,リアリサトリス Realisatrice(仏) ,Numerous 
1,2,2,ルレーヴドゥリリ,牝8,58.0,中村,田中剛,美浦,2017103710,01101,ルーラーシップ ,グーテデロワ ,スペシャルウィーク 
2,3,3,ヤマタケアオイバラ,牡5,60.0,水沼,萱野,美浦,2020102211,01201,ジャスタウェイ ,マルヨパトリオット ,アルカセット Alkaased(米) 
3,3,4,ケンアンビシャス,牡7,60.0,西谷誠,久保田,美浦,2018103796,01005,トゥザワールド ,モルフェキイ ,モルフェデスペクタ 
4,4,5,ブラックボイス,牡6,60.0,五十嵐,宮田,美浦,2019105276,01069,ブラックタイド ,ソングライティング ,Giant's Causeway (米) 
5,4,6,ビートザレコード,牡6,60.0,草野,戸田,美浦,2019104588,01113,ジャスタウェイ ,ビートリックスキッド Beatrix Kiddo(仏) ,Victory Note 
6,5,7,ウン,牡6,60.0,森一,吉田,栗東,2019100295,01139,キタサンブラック ,マリブウィン Malibu Win(米) ,Malibu Moon 
7,5,8,バーンパッション,牡8,60.0,大江圭,天間,美浦,2017104128,01120,エイシンフラッシュ ,ディパッション ,ダイワメジャー 
8,6,9,インディゴブラック,セ6,60.0,小坂,奥村豊,栗東,2019105143,01063,キタサンブラック ,カーニバルダクス ,Bernardini (米) 
9,6,10,ゴールドブリーズ,牡7,60.0,石神深,深山,美浦,2018102196,01059,トゥザワールド ,ゴールドジャパン ,スターリングローズ 
10,7,11,インプレス,牡6,60.0,小牧加,佐々木,栗東,2019104899,01196,キズナ ,ベアトリスII Beatrice(英) ,Dr Fong (米) 
11,7,12,フェーレンベルク,牡5,60.0,上野,千葉,美浦,2020103875,01087,エイシンフラッシュ ,エクラミレネール ,マツリダゴッホ 
12,8,13,ロードトゥフェイム,セ7,60.0,伴,尾形,美浦,2018103563,01149,マツリダゴッホ ,ラドランファーマ ,ホワイトマズル White Muzzle(英) 
13,8,14,マケルナマサムネ,牡7,60.0,難波,畑端,栗東,2018105814,01066,ディープブリランテ ,ナオミノユメ ,ジャングルポケット 
