,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,コスモフレディ,牡4,57.0,Ａルメート,水野,美浦,2021100730,05659,シニスターミニスター Sinister Minister(米) ,ナンヨークイーン ,トワイニング Twining(米) ,0.2754848251536193,2
1,2,2,ミッキーストライク,牡4,57.0,坂井,矢作,栗東,2021105729,01163,ドゥラメンテ ,フォンタネリーチェ Fontanelice(愛) ,Vale of York ,-2.3455098413390316,10
2,2,3,ヒロノラメール,牡4,57.0,西村淳,宮地,栗東,2021104131,01171,キズナ ,トウシンハンター ,エンパイアメーカー Empire Maker(米) ,-0.17697241739824515,4
3,3,4,ペネトレイトゴー,セ5,56.0,△吉村,森秀,栗東,2020101916,01216,ゴールドシップ ,セカンドノホシ ,シンボリルドルフ ,-1.8027386435531045,8
4,3,5,ピュアマークス,牡5,58.0,古川吉,畑端,栗東,2020106164,01015,ホッコータルマエ ,ラヴクレージー ,ゼンノロブロイ ,-2.56216846190423,13
5,4,6,グレイスオブゴッド,牝5,56.0,中井,緒方,栗東,2020103967,01141,ラニ ,ネバーグレイス ,スキャターザゴールド Scatter the Gold(加) ,-2.5436941597953964,12
6,4,7,ハギノカノア,牡5,58.0,菱田,鮫島,栗東,2020100978,01144,ロードカナロア ,ハギノフェリス ,ディープインパクト ,-1.8235817398640775,9
7,5,8,ウェイトゥゴー,牝4,55.0,横山典,昆,栗東,2021104413,00660,サンダースノー Thunder Snow(愛) ,チラリ ,チチカステナンゴ Chichicastenango(仏) ,-0.5217540097982674,5
8,5,9,サマーアゲイン,牡4,57.0,高倉,渡辺,栗東,2021104669,01130,キズナ ,アントワープ ,キングカメハメハ ,-2.6374751047179155,14
9,6,10,メンドロントット,牡4,57.0,嶋田,杉浦,美浦,2021105023,01134,ドゥラメンテ ,グレナディーン ,スペシャルウィーク ,-2.422214496083545,11
10,6,11,ウィルソンウェイ,牡4,57.0,国分優,小椋,栗東,2021101688,01125,タリスマニック Talismanic(英) ,プリムローズレーン ,サンデーサイレンス Sunday Silence(米) ,-1.2351062106185877,7
11,7,12,タナバタ,牡4,57.0,酒井,武井,美浦,2021105969,01034,ルーラーシップ ,フェアリーダンス ,アグネスタキオン ,-2.935879562502515,15
12,7,13,キタサンシデン,牡4,56.0,☆高杉,本田,栗東,2021107047,01213,キタサンブラック ,キタサンハルカゼ ,マヤノトップガン ,1.2135974757725867,1
13,8,14,アルゴナヴィス,牡4,57.0,団野,池江,栗東,2021105750,01180,ドゥラメンテ ,プリティカリーナ Pretty Carina(米) ,Seeking the Gold ,-1.0273255561672323,6
14,8,15,ワオン,牡4,57.0,幸,武藤,美浦,2021101395,00732,ジャスタウェイ ,サトノアイビス ,Bodemeister ,-0.09256893822309337,3
