,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,エッチェレンテ,牡2,56.0,北村宏,鹿戸,496(0),美浦,2023106914,01043,リアルスティール  ,エクセレンスII  Xcellence(仏)  ,Champs Elysees  ,-0.9507842746554901,13
1,2,2,ホウオウバトラー,牡2,56.0,原,尾形,520(0),美浦,2023102430,01184,ダノンバラード  ,ラヴタクティクス  ,バトルプラン  Battle Plan(米)  ,-0.6818105741367955,6
2,2,3,ピースサイン,牡2,56.0,横山武,浅利,454(0),美浦,2023103422,01170,ポエティックフレア  Poetic Flare(愛)  ,シャドウノエル  ,Le Havre  ,-0.922033973779369,12
3,3,4,イベリスアマラ,牡2,56.0,岩田望,高橋文,428(0),美浦,2023106870,01174,オルフェーヴル  ,イベリスリーフ  ,ヘニーヒューズ  Henny Hughes(米)  ,-0.230571107312703,1
4,3,5,テンレッドサン,牝2,55.0,津村,西園翔,452(0),栗東,2023104101,01092,ヘニーヒューズ  Henny Hughes(米)  ,キンショーユキヒメ  ,メイショウサムソン  ,-0.811155961297075,9
5,4,6,ハイテイラオユエ,牡2,56.0,内田博,辻,526(0),美浦,2023102520,00422,クリソベリル  ,ハレイワクィーン  ,キングカメハメハ  ,-0.7422702598644608,8
6,4,7,ロイヤルアデレード,牡2,56.0,鮫島駿,加藤征,486(0),美浦,2023105264,01157,ニューイヤーズデイ  ,アデレードヒル  ,ゴールドヘイロー  ,-0.9700853262565772,14
7,5,8,カシマライフウ,牡2,56.0,松岡,伊藤伸,472(0),美浦,2023105439,01085,シュヴァルグラン  ,カシマサミダレ  ,シニスターミニスター  Sinister Minister(米)  ,-0.5514967727764389,4
8,5,9,ワンダーバリエンス,牝2,55.0,柴田大,畠山,476(0),美浦,2023105196,01009,フィレンツェファイア  ,ワンダープリマ  ,デヒア  Dehere(米)  ,-0.9062070694230051,11
9,6,10,デルマノリクラ,牡2,53.0,▲遠藤,勢司,472(0),美浦,2023101366,01218,レッドファルクス  ,デルマトモエゴゼン  ,キングカメハメハ  ,-0.6991246807148487,7
10,6,11,ユウブルボン,牡2,55.0,☆松本,新谷,484(0),栗東,2023106696,01191,トビーズコーナー  Toby's Corner(米)  ,シーホース  ,キングヘイロー  ,-1.1677562147418796,15
11,7,12,ゲタリア,牡2,56.0,ルメール,杉山晴,524(0),栗東,2023105342,05339,クリソベリル  ,リップスポイズン  Lips Poison(独)  ,Mamool  ,-0.6092056637418055,5
12,7,13,コックピットサイト,牡2,56.0,荻野極,鹿戸,474(0),美浦,2023103717,01160,ドレフォン  Drefong(米)  ,ベラポーサ  ,Tapit  (米)  ,-0.4939295267210921,3
13,8,14,フェルギナス,牡2,56.0,戸崎圭,矢作,472(0),栗東,2023103376,05386,エピファネイア  ,カンビーナ  Cambina(愛)  ,Hawk Wing  ,-0.8562422840997622,10
14,8,15,ケブランリ,牡2,56.0,プーシャン,加藤士,502(0),美浦,2023107382,05678,ゴールドドリーム  ,カロンセギュール  ,Forest Camp  ,-0.26988765757891764,2
