,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,シャヴィット,牝3,55.0,西村淳,小椋,栗東,2022102094,1171,ミッキーロケット ,テレフォトグラフ ,ハーツクライ ,-0.5619637218777211,9,-0.43085862226184907,9,,
1,2,2,コスモサンビタリア,牝3,55.0,丸山,西園翔,栗東,2022106765,1127,ゴールドシップ ,ヴァレディクトーリアン Valedictorian(米) ,Temple City ,3.0371687472888476,1,0.8139024931540537,1,,
2,3,3,コロニス,牝3,55.0,和田竜,杉山佳,栗東,2022102886,1018,デクラレーションオブウォー ,コウヨウルビー ,バブルガムフェロー ,-0.742093915799465,11,-0.49315670743292195,11,,
3,4,4,デザフィアドール,牝3,52.0,▲川端,宮本,栗東,2022105172,1195,ミッキーアイル ,レンブランサ ,ヘニーヒューズ Henny Hughes(米) ,0.4090635178068805,5,-0.09502854089534653,5,,
4,5,5,マリーヌ,牝3,55.0,幸,斉藤崇,栗東,2022104990,732,リアルスティール ,フィールザレース Feel The Race(亜) ,Orpen ,1.0157083768265955,3,0.11477977759357105,3,,
5,5,6,リュクスビスケッツ,牝3,55.0,佐々木,加藤士,美浦,2022105565,1197,マインドユアビスケッツ Mind Your Biscuits(米) ,レイクキャリー ,ダイワメジャー ,0.12845664491421305,7,-0.19207651761961755,7,,
6,6,7,ネトル,牝3,53.0,◇永島,高橋康,栗東,2022106614,1187,マジェスティックウォリアー Majestic Warrior(米) ,アニエーゼ ,Ghostzapper ,-0.3664207955159169,8,-0.3632300386475947,8,,
7,6,8,マンノミューズ,牝3,55.0,角田和,角田,栗東,2022106518,1186,モズアスコット ,マンノアクトレス ,ハーツクライ ,-0.6570917877002255,10,-0.46375869424725114,10,,
8,7,9,メイショウルーチェ,牝3,55.0,小沢,飯田,栗東,2022102793,1185,ダノンレジェンド ,メイショウハナグシ ,ブラックタイド ,0.269152875259087,6,-0.14341668136206165,6,,
9,7,10,ウィッシュソング,牝3,55.0,田中健,中村,栗東,2022101178,1114,アルアイン ,ピンクプリンセス ,シルバーチャーム Silver Charm(米) ,0.938077479886764,4,0.08793110706160295,4,,
10,8,11,スルーザナイト,牝3,55.0,北村友,西園翔,栗東,2022105053,1102,リアルインパクト ,マイティースルー ,クロフネ ,-0.9649587664541142,12,-0.5702345873010444,12,,
11,8,12,ローズゴジャール,牝3,55.0,城戸,荒川,栗東,2022103065,1147,ルヴァンスレーヴ ,ロザリウム ,キングカメハメハ ,1.3594335571279077,2,0.23365724111951608,2,,
