month,day,course,times,days
1,4,6,1,1
1,4,8,1,1
1,5,6,1,2
1,5,8,1,2
1,10,6,1,3
1,10,8,1,3
1,11,6,1,4
1,11,8,1,4
1,12,6,1,5
1,12,8,1,5
1,17,6,1,6
1,17,8,1,6
1,18,6,1,7
1,18,8,1,7
1,24,6,1,8
1,24,8,1,8
1,24,10,1,1
1,25,6,1,9
1,25,8,1,9
1,25,10,1,2
1,31,5,1,1
1,31,8,2,1
1,31,10,1,3
2,1,5,1,2
2,1,8,2,2
2,1,10,1,4
2,7,5,1,3
2,7,8,2,3
2,7,10,1,5
2,8,10,1,6
2,10,5,1,4
2,10,8,2,4
2,14,5,1,5
2,14,8,2,5
2,14,10,1,7
2,15,5,1,6
2,15,8,2,6
2,15,10,1,8
2,21,5,1,7
2,21,9,1,1
2,21,10,1,9
2,22,5,1,8
2,22,9,1,2
2,22,10,1,10
2,28,6,2,1
2,28,9,1,3
2,28,10,1,11
3,1,6,2,2
3,1,9,1,4
3,1,10,1,12
3,7,6,2,3
3,7,9,1,5
3,8,6,2,4
3,8,9,1,6
3,14,6,2,5
3,14,9,1,7
3,14,7,1,1
3,15,6,2,6
3,15,9,1,8
3,15,7,1,2
3,21,6,2,7
3,21,9,1,9
3,21,7,1,3
3,22,6,2,8
3,22,9,1,10
3,22,7,1,4
3,28,6,3,1
3,28,9,2,1
3,28,7,1,5
3,29,6,3,2
3,29,9,2,2
3,29,7,1,6
4,4,6,3,3
4,4,9,2,3
4,5,6,3,4
4,5,9,2,4
4,11,6,3,5
4,11,9,2,5
4,11,3,1,1
4,12,6,3,6
4,12,9,2,6
4,12,3,1,2
4,18,6,3,7
4,18,9,2,7
4,18,3,1,3
4,19,6,3,8
4,19,9,2,8
4,19,3,1,4
4,25,5,2,1
4,25,8,3,1
4,25,3,1,5
4,26,5,2,2
4,26,8,3,2
4,26,3,1,6
5,2,5,2,3
5,2,8,3,3
5,2,4,1,1
5,3,5,2,4
5,3,8,3,4
5,3,4,1,2
5,9,5,2,5
5,9,8,3,5
5,9,4,1,3
5,10,5,2,6
5,10,8,3,6
5,10,4,1,4
5,16,5,2,7
5,16,8,3,7
5,16,4,1,5
5,17,5,2,8
5,17,8,3,8
5,17,4,1,6
5,23,5,2,9
5,23,8,3,9
5,23,4,1,7
5,24,5,2,10
5,24,8,3,10
5,24,4,1,8
5,30,5,2,11
5,30,8,3,11
5,31,5,2,12
5,31,8,3,12
6,6,5,3,1
6,6,9,3,1
6,7,5,3,2
6,7,9,3,2
6,13,5,3,3
6,13,9,3,3
6,13,2,1,1
6,14,5,3,4
6,14,9,3,4
6,14,2,1,2
6,20,5,3,5
6,20,9,3,5
6,20,2,1,3
6,21,5,3,6
6,21,9,3,6
6,21,2,1,4
6,27,3,2,1
6,27,10,2,1
6,27,2,1,5
6,28,3,2,2
6,28,10,2,2
6,28,2,1,6
7,4,3,2,3
7,4,10,2,3
7,4,2,1,7
7,5,3,2,4
7,5,10,2,4
7,5,2,1,8
7,11,3,2,5
7,11,10,2,5
7,11,2,1,9
7,12,3,2,6
7,12,10,2,6
7,12,2,1,10
7,18,3,2,7
7,18,10,2,7
7,18,2,1,11
7,19,3,2,8
7,19,10,2,8
7,19,2,1,12
7,25,4,2,1
7,25,7,2,1
7,25,1,1,1
7,26,4,2,2
7,26,7,2,2
7,26,1,1,2
8,1,4,2,3
8,1,7,2,3
8,1,1,1,3
8,2,4,2,4
8,2,7,2,4
8,2,1,1,4
8,8,4,2,5
8,8,7,2,5
8,8,1,1,5
8,9,4,2,6
8,9,7,2,6
8,9,1,1,6
8,15,4,2,7
8,15,7,2,7
8,15,1,1,7
8,16,4,2,8
8,16,7,2,8
8,16,1,1,8
8,22,4,3,1
8,22,7,3,1
8,22,1,2,1
8,23,4,3,2
8,23,7,3,2
8,23,1,2,2
8,29,4,3,3
8,29,7,3,3
8,29,1,2,3
8,30,4,3,4
8,30,7,3,4
8,30,1,2,4
9,5,6,4,1
9,5,9,4,1
9,5,1,2,5
9,6,6,4,2
9,6,9,4,2
9,6,1,2,6
9,12,6,4,3
9,12,9,4,3
9,13,6,4,4
9,13,9,4,4
9,19,6,4,5
9,19,9,4,5
9,20,6,4,6
9,20,9,4,6
9,21,6,4,7
9,21,9,4,7
9,26,6,4,8
9,26,9,4,8
9,27,6,4,9
9,27,9,4,9
10,3,5,4,1
10,3,8,4,1
10,4,5,4,2
10,4,8,4,2
10,10,5,4,3
10,10,8,4,3
10,11,5,4,4
10,11,8,4,4
10,12,5,4,5
10,12,8,4,5
10,17,5,4,6
10,17,8,4,6
10,17,4,4,1
10,18,5,4,7
10,18,8,4,7
10,18,4,4,2
10,24,5,4,8
10,24,8,4,8
10,24,4,4,3
10,25,5,4,9
10,25,8,4,9
10,25,4,4,4
10,31,5,4,10
10,31,8,4,10
11,1,5,4,11
11,1,8,4,11
11,7,5,5,1
11,7,8,5,1
11,7,3,3,1
11,8,5,5,2
11,8,8,5,2
11,8,3,3,2
11,14,5,5,3
11,14,8,5,3
11,14,3,3,3
11,15,5,5,4
11,15,8,5,4
11,15,3,3,4
11,21,8,5,5
11,21,3,3,5
11,22,5,5,5
11,22,8,5,6
11,23,5,5,6
11,23,3,3,6
11,28,5,5,7
11,28,8,5,7
11,29,5,5,8
11,29,8,5,8
12,5,6,5,1
12,5,9,5,1
12,5,7,4,1
12,6,6,5,2
12,6,9,5,2
12,6,7,4,2
12,12,6,5,3
12,12,9,5,3
12,12,7,4,3
12,13,6,5,4
12,13,9,5,4
12,13,7,4,4
12,19,6,5,5
12,19,9,5,5
12,19,7,4,5
12,20,6,5,6
12,20,9,5,6
12,20,7,4,6
12,26,6,5,7
12,26,9,5,7
12,27,6,5,8
12,27,9,5,8
