month,day,course,times,days
11,16,5,5,4
11,16,8,4,4
11,22,3,3,5
11,22,8,4,5
11,23,5,5,5
11,23,8,4,6
11,24,3,3,6
11,24,5,5,6
11,29,5,5,7
11,29,8,4,7
11,30,5,5,8
11,30,8,4,8
12,6,6,5,1
12,6,7,5,1
12,6,9,5,1
12,7,6,5,2
12,7,7,5,2
12,7,9,5,2
12,13,6,5,3
12,13,7,5,3
12,13,9,5,3
12,14,6,5,4
12,14,7,5,4
12,14,9,5,4
12,20,6,5,5
12,20,7,5,5
12,20,9,5,5
12,21,6,5,6
12,21,7,5,6
12,21,9,5,6
12,27,6,5,7
12,27,9,5,7
12,28,6,5,8
12,28,9,5,8
