,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,フジフォンテ,セ7,60.0,石神深,粕谷,478(-2),美浦,2019105759,01059,ロージズインメイ,シチリアーナ,メイショウオウドウ
1,2,2,オブシディアン,牡6,60.0,上野,石栗,548(-2),美浦,2020100307,01087,ホッコータルマエ,ヒラボクミラクル,アグネスデジタル
2,3,3,バラジ,セ7,57.0,▲鷲頭,井上,506(+6),栗東,2019106698,01202,ヴァンセンヌ,シーダーアラジ,アラジ
3,3,4,イーサンバーニング,牡7,60.0,小野寺,藤野,526(0),栗東,2019104192,01123,ホッコータルマエ,ターキッシュブルー,カリズマティック
4,4,5,レッドファーロ,牡7,60.0,西谷誠,松永幹,526(-2),栗東,2019104983,01005,ハーツクライ,プラヤデシエルタ,Orpen
5,4,6,スノーディーヴァ,牝5,57.0,▲水沼,深山,464(-14),美浦,2021103504,01201,エイシンヒカリ,スノースタイル,ホワイトマズル
6,5,7,リケアキャンディ,牝4,57.0,大江圭,蛯名利,438(0),美浦,2022100765,01120,ディーマジェスティ,タッキーナ,アグネスタキオン
7,5,8,ハーバーライト,牡5,60.0,難波,高橋忠,532(0),栗東,2021105477,01066,ドレフォン,カールファターレ,キングカメハメハ
8,6,9,エブリモーメント,牡5,60.0,黒岩,牧田,510(+8),栗東,2021104649,01072,ベストウォーリア,ピュアアモーレ,マツリダゴッホ
9,6,10,メイショウコガシラ,牡6,60.0,森一,本田,510(+6),栗東,2020100979,01139,メイショウボーラー,マイラッキー,Elusive Quality
10,7,11,レッドラマンシュ,セ7,60.0,小牧加,庄野,476(-2),栗東,2019103920,01196,ロードカナロア,レッドシェリール,ゼンノロブロイ
11,7,12,スマラグドス,牡6,60.0,田村,西園正,480(-2),栗東,2020102798,01105,ハーツクライ,エメラルドスター,Mount Nelson
12,8,13,インターステラ,牡4,59.0,伴,天間,484(+14),美浦,2022103576,01149,ダノンバラード,ラステラ,サッカーボーイ
13,8,14,ウェイトゥザドーン,セ5,60.0,草野,戸田,466(+2),美浦,2021104768,01113,ジャスタウェイ,ソワー,Flatter
