,式別,馬番,配当,人気
202610020302,単勝,4,1620,7
202610020302,複勝,4,390,7
202610020302,複勝,8,920,11
202610020302,複勝,5,1010,12
202610020302,複勝,12,420,8
202610020302,枠連,2-4,10190,29
202610020302,馬連,4-8,32380,74
202610020302,ワイド,4-8,4420,69
202610020302,ワイド,4-5,5100,73
202610020302,ワイド,4-12,1940,34
202610020302,ワイド,5-8,11990,114
202610020302,ワイド,8-12,4520,70
202610020302,馬単,4→8,54080,130
202610020302,三連複,4-5-8,203420,532
202610020302,三連複,4-8-12,68430,297
202610020302,三連単,4→8→5,1565830,3243
202610020302,三連単,4→8→12,408530,1753
